Données 2021;Personnes scolarisées;% de la population scolarisée;Moyenne des villes;code_insee;Ville;type
11 - 14 ans;1 231;22,0 %;24,9 %;78126;la-celle-saint-cloud;Scolarisés
15 - 17 ans;1 000;17,9 %;18,4 %;78126;la-celle-saint-cloud;Scolarisés
18 - 24 ans;965;17,2 %;9,1 %;78126;la-celle-saint-cloud;Scolarisés
25 - 29 ans;87;1,6 %;0,7 %;78126;la-celle-saint-cloud;Scolarisés
30 ans et plus;187;3,3 %;2,2 %;78126;la-celle-saint-cloud;Scolarisés
Aucun diplôme;1 752;12,4 %;20,2 %;78126;la-celle-saint-cloud;Non scolarisés
Brevet des collèges;576;4,1 %;5,5 %;78126;la-celle-saint-cloud;Non scolarisés
CAP / BEP;1 828;13,0 %;29,3 %;78126;la-celle-saint-cloud;Non scolarisés
Baccalauréat / brevet professionnel;2 145;15,2 %;18,8 %;78126;la-celle-saint-cloud;Non scolarisés
De Bac +2 à Bac +4;3 919;27,8 %;19,8 %;78126;la-celle-saint-cloud;Non scolarisés
Bac +5 et plus;3 878;27,5 %;6,5 %;78126;la-celle-saint-cloud;Non scolarisés
2 - 5 ans;1 165;15,2 %;15,6 %;78146;chatou;Scolarisés
6 - 10 ans;1 845;24,1 %;29,2 %;78146;chatou;Scolarisés
11 - 14 ans;1 574;20,6 %;24,9 %;78146;chatou;Scolarisés
15 - 17 ans;1 257;16,4 %;18,4 %;78146;chatou;Scolarisés
18 - 24 ans;1 427;18,7 %;9,1 %;78146;chatou;Scolarisés
25 - 29 ans;158;2,1 %;0,7 %;78146;chatou;Scolarisés
30 ans et plus;218;2,9 %;2,2 %;78146;chatou;Scolarisés
Aucun diplôme;2 254;10,8 %;20,2 %;78146;chatou;Non scolarisés
Brevet des collèges;783;3,7 %;5,5 %;78146;chatou;Non scolarisés
CAP / BEP;2 383;11,4 %;29,3 %;78146;chatou;Non scolarisés
Baccalauréat / brevet professionnel;2 765;13,2 %;18,8 %;78146;chatou;Non scolarisés
De Bac +2 à Bac +4;5 835;27,9 %;19,8 %;78146;chatou;Non scolarisés
Bac +5 et plus;6 872;32,9 %;6,5 %;78146;chatou;Non scolarisés
2 - 5 ans;839;11,7 %;15,6 %;78158;le-chesnay-rocquencourt;Scolarisés
6 - 10 ans;1 709;23,9 %;29,2 %;78158;le-chesnay-rocquencourt;Scolarisés
11 - 14 ans;1 548;21,6 %;24,9 %;78158;le-chesnay-rocquencourt;Scolarisés
15 - 17 ans;1 256;17,6 %;18,4 %;78158;le-chesnay-rocquencourt;Scolarisés
18 - 24 ans;1 441;20,1 %;9,1 %;78158;le-chesnay-rocquencourt;Scolarisés
25 - 29 ans;122;1,7 %;0,7 %;78158;le-chesnay-rocquencourt;Scolarisés
30 ans et plus;241;3,4 %;2,2 %;78158;le-chesnay-rocquencourt;Scolarisés
Aucun diplôme;1 987;8,7 %;20,2 %;78158;le-chesnay-rocquencourt;Non scolarisés
Brevet des collèges;934;4,1 %;5,5 %;78158;le-chesnay-rocquencourt;Non scolarisés
CAP / BEP;2 440;10,7 %;29,3 %;78158;le-chesnay-rocquencourt;Non scolarisés
Baccalauréat / brevet professionnel;3 432;15,0 %;18,8 %;78158;le-chesnay-rocquencourt;Non scolarisés
De Bac +2 à Bac +4;6 514;28,5 %;19,8 %;78158;le-chesnay-rocquencourt;Non scolarisés
Bac +5 et plus;7 544;33,0 %;6,5 %;78158;le-chesnay-rocquencourt;Non scolarisés
2 - 5 ans;1 471;16,2 %;15,6 %;78172;conflans-sainte-honorine;Scolarisés
6 - 10 ans;2 465;27,2 %;29,2 %;78172;conflans-sainte-honorine;Scolarisés
11 - 14 ans;1 816;20,0 %;24,9 %;78172;conflans-sainte-honorine;Scolarisés
15 - 17 ans;1 323;14,6 %;18,4 %;78172;conflans-sainte-honorine;Scolarisés
18 - 24 ans;1 617;17,8 %;9,1 %;78172;conflans-sainte-honorine;Scolarisés
25 - 29 ans;142;1,6 %;0,7 %;78172;conflans-sainte-honorine;Scolarisés
30 ans et plus;242;2,7 %;2,2 %;78172;conflans-sainte-honorine;Scolarisés
Aucun diplôme;4 125;16,3 %;20,2 %;78172;conflans-sainte-honorine;Non scolarisés
Brevet des collèges;1 159;4,6 %;5,5 %;78172;conflans-sainte-honorine;Non scolarisés
CAP / BEP;4 683;18,5 %;29,3 %;78172;conflans-sainte-honorine;Non scolarisés
Baccalauréat / brevet professionnel;4 748;18,8 %;18,8 %;78172;conflans-sainte-honorine;Non scolarisés
De Bac +2 à Bac +4;6 277;24,8 %;19,8 %;78172;conflans-sainte-honorine;Non scolarisés
Bac +5 et plus;4 325;17,1 %;6,5 %;78172;conflans-sainte-honorine;Non scolarisés
2 - 5 ans;1 150;15,7 %;15,6 %;78208;elancourt;Scolarisés
6 - 10 ans;1 828;24,9 %;29,2 %;78208;elancourt;Scolarisés
11 - 14 ans;1 447;19,7 %;24,9 %;78208;elancourt;Scolarisés
15 - 17 ans;1 065;14,5 %;18,4 %;78208;elancourt;Scolarisés
18 - 24 ans;1 538;21,0 %;9,1 %;78208;elancourt;Scolarisés
25 - 29 ans;151;2,1 %;0,7 %;78208;elancourt;Scolarisés
30 ans et plus;162;2,2 %;2,2 %;78208;elancourt;Scolarisés
Aucun diplôme;2 319;13,2 %;20,2 %;78208;elancourt;Non scolarisés
Brevet des collèges;779;4,4 %;5,5 %;78208;elancourt;Non scolarisés
CAP / BEP;3 265;18,5 %;29,3 %;78208;elancourt;Non scolarisés
Baccalauréat / brevet professionnel;3 217;18,3 %;18,8 %;78208;elancourt;Non scolarisés
De Bac +2 à Bac +4;5 215;29,6 %;19,8 %;78208;elancourt;Non scolarisés
Bac +5 et plus;2 807;15,9 %;6,5 %;78208;elancourt;Non scolarisés
2 - 5 ans;1 366;15,8 %;15,6 %;78297;guyancourt;Scolarisés
6 - 10 ans;2 238;25,8 %;29,2 %;78297;guyancourt;Scolarisés
11 - 14 ans;1 684;19,4 %;24,9 %;78297;guyancourt;Scolarisés
15 - 17 ans;1 230;14,2 %;18,4 %;78297;guyancourt;Scolarisés
18 - 24 ans;1 662;19,2 %;9,1 %;78297;guyancourt;Scolarisés
25 - 29 ans;196;2,3 %;0,7 %;78297;guyancourt;Scolarisés
30 ans et plus;291;3,4 %;2,2 %;78297;guyancourt;Scolarisés
Aucun diplôme;2 790;14,5 %;20,2 %;78297;guyancourt;Non scolarisés
Brevet des collèges;899;4,7 %;5,5 %;78297;guyancourt;Non scolarisés
CAP / BEP;3 082;16,0 %;29,3 %;78297;guyancourt;Non scolarisés
Baccalauréat / brevet professionnel;3 384;17,5 %;18,8 %;78297;guyancourt;Non scolarisés
De Bac +2 à Bac +4;4 760;24,7 %;19,8 %;78297;guyancourt;Non scolarisés
Bac +5 et plus;4 390;22,7 %;6,5 %;78297;guyancourt;Non scolarisés
2 - 5 ans;1 358;16,1 %;15,6 %;78311;houilles;Scolarisés
6 - 10 ans;2 120;25,1 %;29,2 %;78311;houilles;Scolarisés
11 - 14 ans;1 719;20,4 %;24,9 %;78311;houilles;Scolarisés
15 - 17 ans;1 181;14,0 %;18,4 %;78311;houilles;Scolarisés
18 - 24 ans;1 568;18,6 %;9,1 %;78311;houilles;Scolarisés
25 - 29 ans;192;2,3 %;0,7 %;78311;houilles;Scolarisés
30 ans et plus;293;3,5 %;2,2 %;78311;houilles;Scolarisés
Aucun diplôme;3 219;13,7 %;20,2 %;78311;houilles;Non scolarisés
Brevet des collèges;822;3,5 %;5,5 %;78311;houilles;Non scolarisés
CAP / BEP;3 624;15,4 %;29,3 %;78311;houilles;Non scolarisés
Baccalauréat / brevet professionnel;3 106;13,2 %;18,8 %;78311;houilles;Non scolarisés
De Bac +2 à Bac +4;6 105;25,9 %;19,8 %;78311;houilles;Non scolarisés
Bac +5 et plus;6 691;28,4 %;6,5 %;78311;houilles;Non scolarisés
2 - 5 ans;781;13,8 %;15,6 %;78358;maisons-laffitte;Scolarisés
6 - 10 ans;1 468;26,0 %;29,2 %;78358;maisons-laffitte;Scolarisés
11 - 14 ans;1 223;21,7 %;24,9 %;78358;maisons-laffitte;Scolarisés
15 - 17 ans;863;15,3 %;18,4 %;78358;maisons-laffitte;Scolarisés
18 - 24 ans;975;17,3 %;9,1 %;78358;maisons-laffitte;Scolarisés
25 - 29 ans;173;3,1 %;0,7 %;78358;maisons-laffitte;Scolarisés
30 ans et plus;163;2,9 %;2,2 %;78358;maisons-laffitte;Scolarisés
Aucun diplôme;1 503;9,1 %;20,2 %;78358;maisons-laffitte;Non scolarisés
Brevet des collèges;547;3,3 %;5,5 %;78358;maisons-laffitte;Non scolarisés
CAP / BEP;1 689;10,2 %;29,3 %;78358;maisons-laffitte;Non scolarisés
Baccalauréat / brevet professionnel;1 989;12,0 %;18,8 %;78358;maisons-laffitte;Non scolarisés
De Bac +2 à Bac +4;4 098;24,8 %;19,8 %;78358;maisons-laffitte;Non scolarisés
Bac +5 et plus;6 707;40,6 %;6,5 %;78358;maisons-laffitte;Non scolarisés
2 - 5 ans;2 119;17,1 %;15,6 %;78361;mantes-la-jolie;Scolarisés
6 - 10 ans;3 208;25,8 %;29,2 %;78361;mantes-la-jolie;Scolarisés
11 - 14 ans;2 560;20,6 %;24,9 %;78361;mantes-la-jolie;Scolarisés
15 - 17 ans;1 770;14,3 %;18,4 %;78361;mantes-la-jolie;Scolarisés
18 - 24 ans;2 152;17,3 %;9,1 %;78361;mantes-la-jolie;Scolarisés
25 - 29 ans;271;2,2 %;0,7 %;78361;mantes-la-jolie;Scolarisés
30 ans et plus;334;2,7 %;2,2 %;78361;mantes-la-jolie;Scolarisés
Aucun diplôme;10 050;33,7 %;20,2 %;78361;mantes-la-jolie;Non scolarisés
Brevet des collèges;1 944;6,5 %;5,5 %;78361;mantes-la-jolie;Non scolarisés
CAP / BEP;5 242;17,6 %;29,3 %;78361;mantes-la-jolie;Non scolarisés
Baccalauréat / brevet professionnel;5 329;17,8 %;18,8 %;78361;mantes-la-jolie;Non scolarisés
De Bac +2 à Bac +4;4 665;15,6 %;19,8 %;78361;mantes-la-jolie;Non scolarisés
Bac +5 et plus;2 636;8,8 %;6,5 %;78361;mantes-la-jolie;Non scolarisés
2 - 5 ans;1 113;18,9 %;15,6 %;78362;mantes-la-ville;Scolarisés
6 - 10 ans;1 748;29,7 %;29,2 %;78362;mantes-la-ville;Scolarisés
11 - 14 ans;1 122;19,1 %;24,9 %;78362;mantes-la-ville;Scolarisés
15 - 17 ans;761;12,9 %;18,4 %;78362;mantes-la-ville;Scolarisés
18 - 24 ans;838;14,2 %;9,1 %;78362;mantes-la-ville;Scolarisés
25 - 29 ans;113;1,9 %;0,7 %;78362;mantes-la-ville;Scolarisés
30 ans et plus;186;3,2 %;2,2 %;78362;mantes-la-ville;Scolarisés
Aucun diplôme;3 676;25,9 %;20,2 %;78362;mantes-la-ville;Non scolarisés
Brevet des collèges;702;4,9 %;5,5 %;78362;mantes-la-ville;Non scolarisés
CAP / BEP;3 371;23,7 %;29,3 %;78362;mantes-la-ville;Non scolarisés
Baccalauréat / brevet professionnel;2 336;16,4 %;18,8 %;78362;mantes-la-ville;Non scolarisés
De Bac +2 à Bac +4;2 989;21,0 %;19,8 %;78362;mantes-la-ville;Non scolarisés
Bac +5 et plus;1 134;8,0 %;6,5 %;78362;mantes-la-ville;Non scolarisés
2 - 5 ans;1 139;13,2 %;15,6 %;78423;montigny-le-bretonneux;Scolarisés
6 - 10 ans;1 953;22,6 %;29,2 %;78423;montigny-le-bretonneux;Scolarisés
11 - 14 ans;1 641;19,0 %;24,9 %;78423;montigny-le-bretonneux;Scolarisés
15 - 17 ans;1 297;15,0 %;18,4 %;78423;montigny-le-bretonneux;Scolarisés
18 - 24 ans;2 052;23,7 %;9,1 %;78423;montigny-le-bretonneux;Scolarisés
25 - 29 ans;291;3,4 %;0,7 %;78423;montigny-le-bretonneux;Scolarisés
30 ans et plus;281;3,2 %;2,2 %;78423;montigny-le-bretonneux;Scolarisés
Aucun diplôme;1 878;8,6 %;20,2 %;78423;montigny-le-bretonneux;Non scolarisés
Brevet des collèges;886;4,0 %;5,5 %;78423;montigny-le-bretonneux;Non scolarisés
CAP / BEP;3 206;14,6 %;29,3 %;78423;montigny-le-bretonneux;Non scolarisés
Baccalauréat / brevet professionnel;3 148;14,4 %;18,8 %;78423;montigny-le-bretonneux;Non scolarisés
De Bac +2 à Bac +4;6 436;29,4 %;19,8 %;78423;montigny-le-bretonneux;Non scolarisés
Bac +5 et plus;6 369;29,1 %;6,5 %;78423;montigny-le-bretonneux;Non scolarisés
2 - 5 ans;2 013;19,9 %;15,6 %;78440;les-mureaux;Scolarisés
6 - 10 ans;2 909;28,7 %;29,2 %;78440;les-mureaux;Scolarisés
11 - 14 ans;1 999;19,7 %;24,9 %;78440;les-mureaux;Scolarisés
15 - 17 ans;1 350;13,3 %;18,4 %;78440;les-mureaux;Scolarisés
18 - 24 ans;1 435;14,2 %;9,1 %;78440;les-mureaux;Scolarisés
25 - 29 ans;195;1,9 %;0,7 %;78440;les-mureaux;Scolarisés
30 ans et plus;240;2,4 %;2,2 %;78440;les-mureaux;Scolarisés
Aucun diplôme;7 999;36,6 %;20,2 %;78440;les-mureaux;Non scolarisés
Brevet des collèges;1 191;5,5 %;5,5 %;78440;les-mureaux;Non scolarisés
CAP / BEP;3 937;18,0 %;29,3 %;78440;les-mureaux;Non scolarisés
Baccalauréat / brevet professionnel;3 711;17,0 %;18,8 %;78440;les-mureaux;Non scolarisés
De Bac +2 à Bac +4;3 585;16,4 %;19,8 %;78440;les-mureaux;Non scolarisés
Bac +5 et plus;1 426;6,5 %;6,5 %;78440;les-mureaux;Non scolarisés
2 - 5 ans;1 276;15,8 %;15,6 %;78490;plaisir;Scolarisés
6 - 10 ans;2 167;26,8 %;29,2 %;78490;plaisir;Scolarisés
11 - 14 ans;1 699;21,0 %;24,9 %;78490;plaisir;Scolarisés
15 - 17 ans;1 320;16,3 %;18,4 %;78490;plaisir;Scolarisés
18 - 24 ans;1 264;15,6 %;9,1 %;78490;plaisir;Scolarisés
25 - 29 ans;151;1,9 %;0,7 %;78490;plaisir;Scolarisés
30 ans et plus;217;2,7 %;2,2 %;78490;plaisir;Scolarisés
Aucun diplôme;3 792;17,4 %;20,2 %;78490;plaisir;Non scolarisés
Brevet des collèges;986;4,5 %;5,5 %;78490;plaisir;Non scolarisés
CAP / BEP;4 486;20,5 %;29,3 %;78490;plaisir;Non scolarisés
Baccalauréat / brevet professionnel;3 722;17,0 %;18,8 %;78490;plaisir;Non scolarisés
De Bac +2 à Bac +4;5 449;24,9 %;19,8 %;78490;plaisir;Non scolarisés
Bac +5 et plus;3 409;15,6 %;6,5 %;78490;plaisir;Non scolarisés
2 - 5 ans;1 848;18,8 %;15,6 %;78498;poissy;Scolarisés
6 - 10 ans;2 581;26,3 %;29,2 %;78498;poissy;Scolarisés
11 - 14 ans;1 877;19,1 %;24,9 %;78498;poissy;Scolarisés
15 - 17 ans;1 357;13,8 %;18,4 %;78498;poissy;Scolarisés
18 - 24 ans;1 457;14,9 %;9,1 %;78498;poissy;Scolarisés
25 - 29 ans;272;2,8 %;0,7 %;78498;poissy;Scolarisés
30 ans et plus;415;4,2 %;2,2 %;78498;poissy;Scolarisés
Aucun diplôme;5 848;20,9 %;20,2 %;78498;poissy;Non scolarisés
Brevet des collèges;1 272;4,5 %;5,5 %;78498;poissy;Non scolarisés
CAP / BEP;4 738;16,9 %;29,3 %;78498;poissy;Non scolarisés
Baccalauréat / brevet professionnel;4 462;15,9 %;18,8 %;78498;poissy;Non scolarisés
De Bac +2 à Bac +4;6 272;22,4 %;19,8 %;78498;poissy;Non scolarisés
Bac +5 et plus;5 395;19,3 %;6,5 %;78498;poissy;Non scolarisés
2 - 5 ans;862;14,3 %;15,6 %;78517;rambouillet;Scolarisés
6 - 10 ans;1 413;23,5 %;29,2 %;78517;rambouillet;Scolarisés
11 - 14 ans;1 309;21,7 %;24,9 %;78517;rambouillet;Scolarisés
15 - 17 ans;931;15,5 %;18,4 %;78517;rambouillet;Scolarisés
18 - 24 ans;1 130;18,8 %;9,1 %;78517;rambouillet;Scolarisés
25 - 29 ans;182;3,0 %;0,7 %;78517;rambouillet;Scolarisés
30 ans et plus;198;3,3 %;2,2 %;78517;rambouillet;Scolarisés
Aucun diplôme;3 124;15,7 %;20,2 %;78517;rambouillet;Non scolarisés
Brevet des collèges;957;4,8 %;5,5 %;78517;rambouillet;Non scolarisés
CAP / BEP;3 179;16,0 %;29,3 %;78517;rambouillet;Non scolarisés
Baccalauréat / brevet professionnel;3 013;15,2 %;18,8 %;78517;rambouillet;Non scolarisés
De Bac +2 à Bac +4;5 464;27,5 %;19,8 %;78517;rambouillet;Non scolarisés
Bac +5 et plus;4 114;20,7 %;6,5 %;78517;rambouillet;Non scolarisés
2 - 5 ans;903;15,7 %;15,6 %;78545;saint-cyr-l-ecole;Scolarisés
6 - 10 ans;1 530;26,7 %;29,2 %;78545;saint-cyr-l-ecole;Scolarisés
11 - 14 ans;1 056;18,4 %;24,9 %;78545;saint-cyr-l-ecole;Scolarisés
15 - 17 ans;671;11,7 %;18,4 %;78545;saint-cyr-l-ecole;Scolarisés
18 - 24 ans;1 240;21,6 %;9,1 %;78545;saint-cyr-l-ecole;Scolarisés
25 - 29 ans;196;3,4 %;0,7 %;78545;saint-cyr-l-ecole;Scolarisés
30 ans et plus;139;2,4 %;2,2 %;78545;saint-cyr-l-ecole;Scolarisés
Aucun diplôme;1 967;14,0 %;20,2 %;78545;saint-cyr-l-ecole;Non scolarisés
Brevet des collèges;617;4,4 %;5,5 %;78545;saint-cyr-l-ecole;Non scolarisés
CAP / BEP;2 152;15,3 %;29,3 %;78545;saint-cyr-l-ecole;Non scolarisés
Baccalauréat / brevet professionnel;2 183;15,5 %;18,8 %;78545;saint-cyr-l-ecole;Non scolarisés
De Bac +2 à Bac +4;3 390;24,1 %;19,8 %;78545;saint-cyr-l-ecole;Non scolarisés
Bac +5 et plus;3 774;26,8 %;6,5 %;78545;saint-cyr-l-ecole;Non scolarisés
2 - 5 ans;1 526;12,7 %;15,6 %;78551;saint-germain-en-laye;Scolarisés
6 - 10 ans;3 020;25,2 %;29,2 %;78551;saint-germain-en-laye;Scolarisés
11 - 14 ans;2 626;21,9 %;24,9 %;78551;saint-germain-en-laye;Scolarisés
15 - 17 ans;1 902;15,9 %;18,4 %;78551;saint-germain-en-laye;Scolarisés
18 - 24 ans;2 265;18,9 %;9,1 %;78551;saint-germain-en-laye;Scolarisés
25 - 29 ans;252;2,1 %;0,7 %;78551;saint-germain-en-laye;Scolarisés
30 ans et plus;408;3,4 %;2,2 %;78551;saint-germain-en-laye;Scolarisés
Aucun diplôme;2 729;8,9 %;20,2 %;78551;saint-germain-en-laye;Non scolarisés
Brevet des collèges;1 117;3,6 %;5,5 %;78551;saint-germain-en-laye;Non scolarisés
CAP / BEP;3 114;10,1 %;29,3 %;78551;saint-germain-en-laye;Non scolarisés
Baccalauréat / brevet professionnel;4 233;13,7 %;18,8 %;78551;saint-germain-en-laye;Non scolarisés
De Bac +2 à Bac +4;8 347;27,1 %;19,8 %;78551;saint-germain-en-laye;Non scolarisés
Bac +5 et plus;11 283;36,6 %;6,5 %;78551;saint-germain-en-laye;Non scolarisés
2 - 5 ans;1 993;15,9 %;15,6 %;78586;sartrouville;Scolarisés
6 - 10 ans;3 247;25,9 %;29,2 %;78586;sartrouville;Scolarisés
11 - 14 ans;2 370;18,9 %;24,9 %;78586;sartrouville;Scolarisés
15 - 17 ans;1 770;14,1 %;18,4 %;78586;sartrouville;Scolarisés
18 - 24 ans;2 380;19,0 %;9,1 %;78586;sartrouville;Scolarisés
25 - 29 ans;256;2,0 %;0,7 %;78586;sartrouville;Scolarisés
30 ans et plus;510;4,1 %;2,2 %;78586;sartrouville;Scolarisés
Aucun diplôme;7 720;21,2 %;20,2 %;78586;sartrouville;Non scolarisés
Brevet des collèges;1 730;4,7 %;5,5 %;78586;sartrouville;Non scolarisés
CAP / BEP;6 956;19,1 %;29,3 %;78586;sartrouville;Non scolarisés
Baccalauréat / brevet professionnel;5 408;14,8 %;18,8 %;78586;sartrouville;Non scolarisés
De Bac +2 à Bac +4;8 071;22,1 %;19,8 %;78586;sartrouville;Non scolarisés
Bac +5 et plus;6 600;18,1 %;6,5 %;78586;sartrouville;Non scolarisés
2 - 5 ans;1 794;17,6 %;15,6 %;78621;trappes;Scolarisés
6 - 10 ans;2 683;26,3 %;29,2 %;78621;trappes;Scolarisés
11 - 14 ans;2 165;21,2 %;24,9 %;78621;trappes;Scolarisés
15 - 17 ans;1 409;13,8 %;18,4 %;78621;trappes;Scolarisés
18 - 24 ans;1 690;16,6 %;9,1 %;78621;trappes;Scolarisés
25 - 29 ans;205;2,0 %;0,7 %;78621;trappes;Scolarisés
30 ans et plus;247;2,4 %;2,2 %;78621;trappes;Scolarisés
Aucun diplôme;6 840;31,8 %;20,2 %;78621;trappes;Non scolarisés
Brevet des collèges;1 131;5,3 %;5,5 %;78621;trappes;Non scolarisés
CAP / BEP;4 555;21,2 %;29,3 %;78621;trappes;Non scolarisés
Baccalauréat / brevet professionnel;3 851;17,9 %;18,8 %;78621;trappes;Non scolarisés
De Bac +2 à Bac +4;3 483;16,2 %;19,8 %;78621;trappes;Non scolarisés
Bac +5 et plus;1 669;7,8 %;6,5 %;78621;trappes;Non scolarisés
2 - 5 ans;775;14,1 %;15,6 %;78640;velizy-villacoublay;Scolarisés
6 - 10 ans;1 345;24,5 %;29,2 %;78640;velizy-villacoublay;Scolarisés
11 - 14 ans;931;17,0 %;24,9 %;78640;velizy-villacoublay;Scolarisés
15 - 17 ans;742;13,5 %;18,4 %;78640;velizy-villacoublay;Scolarisés
18 - 24 ans;1 227;22,4 %;9,1 %;78640;velizy-villacoublay;Scolarisés
25 - 29 ans;278;5,1 %;0,7 %;78640;velizy-villacoublay;Scolarisés
30 ans et plus;186;3,4 %;2,2 %;78640;velizy-villacoublay;Scolarisés
Aucun diplôme;1 961;11,9 %;20,2 %;78640;velizy-villacoublay;Non scolarisés
Brevet des collèges;647;3,9 %;5,5 %;78640;velizy-villacoublay;Non scolarisés
CAP / BEP;2 966;18,1 %;29,3 %;78640;velizy-villacoublay;Non scolarisés
Baccalauréat / brevet professionnel;2 905;17,7 %;18,8 %;78640;velizy-villacoublay;Non scolarisés
De Bac +2 à Bac +4;4 202;25,6 %;19,8 %;78640;velizy-villacoublay;Non scolarisés
Bac +5 et plus;3 742;22,8 %;6,5 %;78640;velizy-villacoublay;Non scolarisés
2 - 5 ans;2 965;13,0 %;15,6 %;78646;versailles;Scolarisés
6 - 10 ans;5 053;22,1 %;29,2 %;78646;versailles;Scolarisés
11 - 14 ans;3 967;17,3 %;24,9 %;78646;versailles;Scolarisés
15 - 17 ans;3 218;14,1 %;18,4 %;78646;versailles;Scolarisés
18 - 24 ans;6 199;27,1 %;9,1 %;78646;versailles;Scolarisés
25 - 29 ans;631;2,8 %;0,7 %;78646;versailles;Scolarisés
30 ans et plus;832;3,6 %;2,2 %;78646;versailles;Scolarisés
Aucun diplôme;4 937;8,6 %;20,2 %;78646;versailles;Non scolarisés
Brevet des collèges;1 797;3,1 %;5,5 %;78646;versailles;Non scolarisés
CAP / BEP;4 819;8,4 %;29,3 %;78646;versailles;Non scolarisés
Baccalauréat / brevet professionnel;7 746;13,5 %;18,8 %;78646;versailles;Non scolarisés
De Bac +2 à Bac +4;14 945;26,0 %;19,8 %;78646;versailles;Non scolarisés
Bac +5 et plus;23 323;40,5 %;6,5 %;78646;versailles;Non scolarisés
2 - 5 ans;1 582;12,9 %;15,6 %;79191;niort;Scolarisés
6 - 10 ans;2 997;24,5 %;29,2 %;79191;niort;Scolarisés
11 - 14 ans;2 669;21,8 %;24,9 %;79191;niort;Scolarisés
15 - 17 ans;2 073;16,9 %;18,4 %;79191;niort;Scolarisés
18 - 24 ans;2 258;18,4 %;9,1 %;79191;niort;Scolarisés
25 - 29 ans;292;2,4 %;0,7 %;79191;niort;Scolarisés
30 ans et plus;384;3,1 %;2,2 %;79191;niort;Scolarisés
Aucun diplôme;8 974;19,8 %;20,2 %;79191;niort;Non scolarisés
Brevet des collèges;2 367;5,2 %;5,5 %;79191;niort;Non scolarisés
CAP / BEP;10 223;22,6 %;29,3 %;79191;niort;Non scolarisés
Baccalauréat / brevet professionnel;7 081;15,6 %;18,8 %;79191;niort;Non scolarisés
De Bac +2 à Bac +4;10 799;23,8 %;19,8 %;79191;niort;Non scolarisés
Bac +5 et plus;5 844;12,9 %;6,5 %;79191;niort;Non scolarisés
2 - 5 ans;634;14,3 %;15,6 %;80001;abbeville;Scolarisés
6 - 10 ans;1 151;25,9 %;29,2 %;80001;abbeville;Scolarisés
11 - 14 ans;1 141;25,7 %;24,9 %;80001;abbeville;Scolarisés
15 - 17 ans;801;18,0 %;18,4 %;80001;abbeville;Scolarisés
18 - 24 ans;527;11,9 %;9,1 %;80001;abbeville;Scolarisés
25 - 29 ans;88;2,0 %;0,7 %;80001;abbeville;Scolarisés
30 ans et plus;105;2,4 %;2,2 %;80001;abbeville;Scolarisés
Aucun diplôme;5 773;32,9 %;20,2 %;80001;abbeville;Non scolarisés
Brevet des collèges;1 097;6,2 %;5,5 %;80001;abbeville;Non scolarisés
CAP / BEP;4 566;26,0 %;29,3 %;80001;abbeville;Non scolarisés
Baccalauréat / brevet professionnel;2 679;15,2 %;18,8 %;80001;abbeville;Non scolarisés
De Bac +2 à Bac +4;2 433;13,8 %;19,8 %;80001;abbeville;Non scolarisés
Bac +5 et plus;1 023;5,8 %;6,5 %;80001;abbeville;Non scolarisés
2 - 5 ans;4 401;10,5 %;15,6 %;80021;amiens;Scolarisés
6 - 10 ans;7 105;16,9 %;29,2 %;80021;amiens;Scolarisés
11 - 14 ans;5 839;13,9 %;24,9 %;80021;amiens;Scolarisés
15 - 17 ans;4 166;9,9 %;18,4 %;80021;amiens;Scolarisés
18 - 24 ans;17 033;40,6 %;9,1 %;80021;amiens;Scolarisés
25 - 29 ans;1 989;4,7 %;0,7 %;80021;amiens;Scolarisés
30 ans et plus;1 388;3,3 %;2,2 %;80021;amiens;Scolarisés
Aucun diplôme;20 288;23,3 %;20,2 %;80021;amiens;Non scolarisés
Brevet des collèges;4 805;5,5 %;5,5 %;80021;amiens;Non scolarisés
CAP / BEP;16 762;19,3 %;29,3 %;80021;amiens;Non scolarisés
Baccalauréat / brevet professionnel;14 559;16,7 %;18,8 %;80021;amiens;Non scolarisés
De Bac +2 à Bac +4;18 531;21,3 %;19,8 %;80021;amiens;Non scolarisés
Bac +5 et plus;12 036;13,8 %;6,5 %;80021;amiens;Non scolarisés
2 - 5 ans;1 151;10,1 %;15,6 %;81004;albi;Scolarisés
6 - 10 ans;2 149;18,8 %;29,2 %;81004;albi;Scolarisés
11 - 14 ans;1 821;15,9 %;24,9 %;81004;albi;Scolarisés
15 - 17 ans;1 472;12,9 %;18,4 %;81004;albi;Scolarisés
18 - 24 ans;4 230;37,0 %;9,1 %;81004;albi;Scolarisés
25 - 29 ans;296;2,6 %;0,7 %;81004;albi;Scolarisés
30 ans et plus;311;2,7 %;2,2 %;81004;albi;Scolarisés
Aucun diplôme;7 778;21,0 %;20,2 %;81004;albi;Non scolarisés
Brevet des collèges;2 260;6,1 %;5,5 %;81004;albi;Non scolarisés
CAP / BEP;7 621;20,6 %;29,3 %;81004;albi;Non scolarisés
Baccalauréat / brevet professionnel;6 840;18,5 %;18,8 %;81004;albi;Non scolarisés
De Bac +2 à Bac +4;8 447;22,8 %;19,8 %;81004;albi;Non scolarisés
Bac +5 et plus;4 052;11,0 %;6,5 %;81004;albi;Non scolarisés
2 - 5 ans;1 227;13,6 %;15,6 %;81065;castres;Scolarisés
