"","0","1","2","3","code_insee","Ville"
"1454","De 1919 à 1945","442","3","8,6 %","76322","le-grand-quevilly"
"1455","De 1946 à 1970","4 592","35","20,8 %","76322","le-grand-quevilly"
"1456","De 1971 à 1990","5 454","42","28,6 %","76322","le-grand-quevilly"
"1457","De 1991 à 2005","1 223","9","15,9 %","76322","le-grand-quevilly"
"1458","Après 2005","1 124","8","14,3 %","76322","le-grand-quevilly"
"1459","Avant 1919","4 844","5","11,8 %","76351","le-havre"
"1460","De 1919 à 1945","8 100","9","8,6 %","76351","le-havre"
"1461","De 1946 à 1970","34 672","42","20,8 %","76351","le-havre"
"1462","De 1971 à 1990","20 078","24","28,6 %","76351","le-havre"
"1463","De 1991 à 2005","7 474","9","15,9 %","76351","le-havre"
"1464","Après 2005","6 364","7","14,3 %","76351","le-havre"
"1465","Avant 1919","587","6","11,8 %","76451","mont-saint-aignan"
"1466","De 1919 à 1945","524","5","8,6 %","76451","mont-saint-aignan"
"1467","De 1946 à 1970","2 735","28","20,8 %","76451","mont-saint-aignan"
"1468","De 1971 à 1990","3 367","34","28,6 %","76451","mont-saint-aignan"
"1469","De 1991 à 2005","1 519","15","15,9 %","76451","mont-saint-aignan"
"1470","Après 2005","951","9","14,3 %","76451","mont-saint-aignan"
"1471","Avant 1919","1 038","10","11,8 %","76498","le-petit-quevilly"
"1472","De 1919 à 1945","1 423","14","8,6 %","76498","le-petit-quevilly"
"1473","De 1946 à 1970","2 098","20","20,8 %","76498","le-petit-quevilly"
"1474","De 1971 à 1990","2 614","25","28,6 %","76498","le-petit-quevilly"
"1475","De 1991 à 2005","1 201","11","15,9 %","76498","le-petit-quevilly"
"1476","Après 2005","1 720","17","14,3 %","76498","le-petit-quevilly"
"1477","Avant 1919","8 788","13","11,8 %","76540","rouen"
"1478","De 1919 à 1945","6 504","10","8,6 %","76540","rouen"
"1479","De 1946 à 1970","17 351","26","20,8 %","76540","rouen"
"1480","De 1971 à 1990","14 033","21","28,6 %","76540","rouen"
"1481","De 1991 à 2005","9 072","14","15,9 %","76540","rouen"
"1482","Après 2005","9 252","14","14,3 %","76540","rouen"
"1483","Avant 1919","496","4","11,8 %","76575","saint-etienne-du-rouvray"
"1484","De 1919 à 1945","902","7","8,6 %","76575","saint-etienne-du-rouvray"
"1485","De 1946 à 1970","4 441","37","20,8 %","76575","saint-etienne-du-rouvray"
"1486","De 1971 à 1990","2 570","21","28,6 %","76575","saint-etienne-du-rouvray"
"1487","De 1991 à 2005","1 236","10","15,9 %","76575","saint-etienne-du-rouvray"
"1488","Après 2005","2 255","18","14,3 %","76575","saint-etienne-du-rouvray"
"1489","Avant 1919","1 102","8","11,8 %","76681","sotteville-les-rouen"
"1490","De 1919 à 1945","1 974","14","8,6 %","76681","sotteville-les-rouen"
"1491","De 1946 à 1970","5 573","40","20,8 %","76681","sotteville-les-rouen"
"1492","De 1971 à 1990","2 729","20","28,6 %","76681","sotteville-les-rouen"
"1493","De 1991 à 2005","1 236","9","15,9 %","76681","sotteville-les-rouen"
"1494","Après 2005","1 023","7","14,3 %","76681","sotteville-les-rouen"
"1495","Avant 1919","103","1","11,8 %","77058","bussy-saint-georges"
"1496","De 1919 à 1945","41","0","8,6 %","77058","bussy-saint-georges"
"1497","De 1946 à 1970","66","0","20,8 %","77058","bussy-saint-georges"
"1498","De 1971 à 1990","814","7","28,6 %","77058","bussy-saint-georges"
"1499","De 1991 à 2005","6 632","61","15,9 %","77058","bussy-saint-georges"
"1500","Après 2005","3 136","29","14,3 %","77058","bussy-saint-georges"
"1501","Avant 1919","152","1","11,8 %","77083","champs-sur-marne"
"1502","De 1919 à 1945","322","3","8,6 %","77083","champs-sur-marne"
"1503","De 1946 à 1970","975","9","20,8 %","77083","champs-sur-marne"
"1504","De 1971 à 1990","5 772","55","28,6 %","77083","champs-sur-marne"
"1505","De 1991 à 2005","1 991","19","15,9 %","77083","champs-sur-marne"
"1506","Après 2005","1 178","11","14,3 %","77083","champs-sur-marne"
"1507","Avant 1919","553","2","11,8 %","77108","chelles"
"1508","De 1919 à 1945","1 597","7","8,6 %","77108","chelles"
"1509","De 1946 à 1970","5 676","25","20,8 %","77108","chelles"
"1510","De 1971 à 1990","7 263","32","28,6 %","77108","chelles"
"1511","De 1991 à 2005","3 279","14","15,9 %","77108","chelles"
"1512","Après 2005","3 931","17","14,3 %","77108","chelles"
"1513","Avant 1919","184","2","11,8 %","77122","combs-la-ville"
"1514","De 1919 à 1945","304","3","8,6 %","77122","combs-la-ville"
"1515","De 1946 à 1970","1 377","15","20,8 %","77122","combs-la-ville"
"1516","De 1971 à 1990","4 313","48","28,6 %","77122","combs-la-ville"
"1517","De 1991 à 2005","1 586","17","15,9 %","77122","combs-la-ville"
"1518","Après 2005","1 113","12","14,3 %","77122","combs-la-ville"
"1519","Avant 1919","268","2","11,8 %","77152","dammarie-les-lys"
"1520","De 1919 à 1945","530","5","8,6 %","77152","dammarie-les-lys"
"1521","De 1946 à 1970","2 570","27","20,8 %","77152","dammarie-les-lys"
"1522","De 1971 à 1990","3 350","36","28,6 %","77152","dammarie-les-lys"
"1523","De 1991 à 2005","1 122","12","15,9 %","77152","dammarie-les-lys"
"1524","Après 2005","1 366","14","14,3 %","77152","dammarie-les-lys"
"1525","Avant 1919","777","8","11,8 %","77243","lagny-sur-marne"
"1526","De 1919 à 1945","880","9","8,6 %","77243","lagny-sur-marne"
"1527","De 1946 à 1970","2 792","29","20,8 %","77243","lagny-sur-marne"
"1528","De 1971 à 1990","2 779","29","28,6 %","77243","lagny-sur-marne"
"1529","De 1991 à 2005","1 288","13","15,9 %","77243","lagny-sur-marne"
"1530","Après 2005","997","10","14,3 %","77243","lagny-sur-marne"
"1531","Avant 1919","1 373","5","11,8 %","77284","meaux"
"1532","De 1919 à 1945","1 056","4","8,6 %","77284","meaux"
"1533","De 1946 à 1970","4 563","19","20,8 %","77284","meaux"
"1534","De 1971 à 1990","8 260","35","28,6 %","77284","meaux"
"1535","De 1991 à 2005","3 138","13","15,9 %","77284","meaux"
"1536","Après 2005","4 865","20","14,3 %","77284","meaux"
"1537","Avant 1919","171","2","11,8 %","77285","le-mee-sur-seine"
"1538","De 1919 à 1945","163","2","8,6 %","77285","le-mee-sur-seine"
"1539","De 1946 à 1970","2 165","27","20,8 %","77285","le-mee-sur-seine"
"1540","De 1971 à 1990","4 141","52","28,6 %","77285","le-mee-sur-seine"
"1541","De 1991 à 2005","725","9","15,9 %","77285","le-mee-sur-seine"
"1542","Après 2005","510","6","14,3 %","77285","le-mee-sur-seine"
"1543","Avant 1919","974","5","11,8 %","77288","melun"
"1544","De 1919 à 1945","1 524","8","8,6 %","77288","melun"
"1545","De 1946 à 1970","5 392","30","20,8 %","77288","melun"
"1546","De 1971 à 1990","5 250","30","28,6 %","77288","melun"
"1547","De 1991 à 2005","2 661","15","15,9 %","77288","melun"
"1548","Après 2005","1 654","9","14,3 %","77288","melun"
"1549","Avant 1919","175","2","11,8 %","77294","mitry-mory"
"1550","De 1919 à 1945","659","8","8,6 %","77294","mitry-mory"
"1551","De 1946 à 1970","1 698","22","20,8 %","77294","mitry-mory"
"1552","De 1971 à 1990","2 169","29","28,6 %","77294","mitry-mory"
"1553","De 1991 à 2005","1 422","19","15,9 %","77294","mitry-mory"
"1554","Après 2005","1 323","17","14,3 %","77294","mitry-mory"
"1555","Avant 1919","520","6","11,8 %","77305","montereau-fault-yonne"
"1556","De 1919 à 1945","859","10","8,6 %","77305","montereau-fault-yonne"
"1557","De 1946 à 1970","2 542","31","20,8 %","77305","montereau-fault-yonne"
"1558","De 1971 à 1990","1 852","22","28,6 %","77305","montereau-fault-yonne"
"1559","De 1991 à 2005","954","11","15,9 %","77305","montereau-fault-yonne"
"1560","Après 2005","1 359","16","14,3 %","77305","montereau-fault-yonne"
"1561","Avant 1919","78","0","11,8 %","77350","ozoir-la-ferriere"
"1562","De 1919 à 1945","176","2","8,6 %","77350","ozoir-la-ferriere"
"1563","De 1946 à 1970","1 677","20","20,8 %","77350","ozoir-la-ferriere"
"1564","De 1971 à 1990","3 879","47","28,6 %","77350","ozoir-la-ferriere"
"1565","De 1991 à 2005","1 370","16","15,9 %","77350","ozoir-la-ferriere"
"1566","Après 2005","1 032","12","14,3 %","77350","ozoir-la-ferriere"
"1567","Avant 1919","144","1","11,8 %","77373","pontault-combault"
"1568","De 1919 à 1945","398","2","8,6 %","77373","pontault-combault"
"1569","De 1946 à 1970","2 125","14","20,8 %","77373","pontault-combault"
"1570","De 1971 à 1990","6 260","42","28,6 %","77373","pontault-combault"
"1571","De 1991 à 2005","3 899","26","15,9 %","77373","pontault-combault"
"1572","Après 2005","1 874","12","14,3 %","77373","pontault-combault"
"1573","Avant 1919","58","0","11,8 %","77390","roissy-en-brie"
"1574","De 1919 à 1945","73","0","8,6 %","77390","roissy-en-brie"
"1575","De 1946 à 1970","925","11","20,8 %","77390","roissy-en-brie"
"1576","De 1971 à 1990","4 872","59","28,6 %","77390","roissy-en-brie"
"1577","De 1991 à 2005","1 501","18","15,9 %","77390","roissy-en-brie"
"1578","Après 2005","808","9","14,3 %","77390","roissy-en-brie"
"1579","Avant 1919","125","1","11,8 %","77445","savigny-le-temple"
"1580","De 1919 à 1945","66","0","8,6 %","77445","savigny-le-temple"
"1581","De 1946 à 1970","285","2","20,8 %","77445","savigny-le-temple"
"1582","De 1971 à 1990","5 213","49","28,6 %","77445","savigny-le-temple"
"1583","De 1991 à 2005","2 838","27","15,9 %","77445","savigny-le-temple"
"1584","Après 2005","1 919","18","14,3 %","77445","savigny-le-temple"
"1585","Avant 1919","160","1","11,8 %","77468","torcy"
"1586","De 1919 à 1945","133","1","8,6 %","77468","torcy"
"1587","De 1946 à 1970","832","9","20,8 %","77468","torcy"
"1588","De 1971 à 1990","5 016","57","28,6 %","77468","torcy"
"1589","De 1991 à 2005","1 930","22","15,9 %","77468","torcy"
"1590","Après 2005","688","7","14,3 %","77468","torcy"
"1591","Avant 1919","130","1","11,8 %","77514","villeparisis"
"1592","De 1919 à 1945","419","4","8,6 %","77514","villeparisis"
"1593","De 1946 à 1970","2 022","19","20,8 %","77514","villeparisis"
"1594","De 1971 à 1990","3 862","37","28,6 %","77514","villeparisis"
"1595","De 1991 à 2005","2 250","21","15,9 %","77514","villeparisis"
"1596","Après 2005","1 712","16","14,3 %","77514","villeparisis"
"1597","Avant 1919","111","1","11,8 %","78005","acheres"
"1598","De 1919 à 1945","371","4","8,6 %","78005","acheres"
"1599","De 1946 à 1970","1 928","21","20,8 %","78005","acheres"
"1600","De 1971 à 1990","2 635","29","28,6 %","78005","acheres"
"1601","De 1991 à 2005","2 294","25","15,9 %","78005","acheres"
"1602","Après 2005","1 693","18","14,3 %","78005","acheres"
"1603","Avant 1919","149","1","11,8 %","78126","la-celle-saint-cloud"
"1604","De 1919 à 1945","383","4","8,6 %","78126","la-celle-saint-cloud"
"1605","De 1946 à 1970","5 836","69","20,8 %","78126","la-celle-saint-cloud"
"1606","De 1971 à 1990","1 579","18","28,6 %","78126","la-celle-saint-cloud"
"1607","De 1991 à 2005","292","3","15,9 %","78126","la-celle-saint-cloud"
"1608","Après 2005","197","2","14,3 %","78126","la-celle-saint-cloud"
"1609","Avant 1919","771","6","11,8 %","78146","chatou"
"1610","De 1919 à 1945","1 348","10","8,6 %","78146","chatou"
"1611","De 1946 à 1970","4 001","31","20,8 %","78146","chatou"
"1612","De 1971 à 1990","4 506","35","28,6 %","78146","chatou"
"1613","De 1991 à 2005","1 154","9","15,9 %","78146","chatou"
"1614","Après 2005","1 037","8","14,3 %","78146","chatou"
"1615","Avant 1919","531","3","11,8 %","78158","le-chesnay-rocquencourt"
"1616","De 1919 à 1945","678","4","8,6 %","78158","le-chesnay-rocquencourt"
"1617","De 1946 à 1970","4 552","31","20,8 %","78158","le-chesnay-rocquencourt"
"1618","De 1971 à 1990","6 762","46","28,6 %","78158","le-chesnay-rocquencourt"
"1619","De 1991 à 2005","1 201","8","15,9 %","78158","le-chesnay-rocquencourt"
"1620","Après 2005","952","6","14,3 %","78158","le-chesnay-rocquencourt"
"1621","Avant 1919","514","3","11,8 %","78172","conflans-sainte-honorine"
"1622","De 1919 à 1945","1 461","10","8,6 %","78172","conflans-sainte-honorine"
"1623","De 1946 à 1970","4 790","33","20,8 %","78172","conflans-sainte-honorine"
"1624","De 1971 à 1990","3 787","26","28,6 %","78172","conflans-sainte-honorine"
"1625","De 1991 à 2005","1 752","12","15,9 %","78172","conflans-sainte-honorine"
"1626","Après 2005","2 090","14","14,3 %","78172","conflans-sainte-honorine"
"1627","Avant 1919","103","0","11,8 %","78208","elancourt"
"1628","De 1919 à 1945","359","3","8,6 %","78208","elancourt"
"1629","De 1946 à 1970","891","8","20,8 %","78208","elancourt"
"1630","De 1971 à 1990","6 036","55","28,6 %","78208","elancourt"
"1631","De 1991 à 2005","2 734","25","15,9 %","78208","elancourt"
"1632","Après 2005","823","7","14,3 %","78208","elancourt"
"1633","Avant 1919","121","1","11,8 %","78297","guyancourt"
"1634","De 1919 à 1945","72","0","8,6 %","78297","guyancourt"
"1635","De 1946 à 1970","617","5","20,8 %","78297","guyancourt"
"1636","De 1971 à 1990","5 298","45","28,6 %","78297","guyancourt"
"1637","De 1991 à 2005","4 030","34","15,9 %","78297","guyancourt"
"1638","Après 2005","1 636","13","14,3 %","78297","guyancourt"
"1639","Avant 1919","739","5","11,8 %","78311","houilles"
"1640","De 1919 à 1945","2 654","18","8,6 %","78311","houilles"
"1641","De 1946 à 1970","3 517","25","20,8 %","78311","houilles"
"1642","De 1971 à 1990","3 543","25","28,6 %","78311","houilles"
"1643","De 1991 à 2005","2 240","15","15,9 %","78311","houilles"
"1644","Après 2005","1 392","9","14,3 %","78311","houilles"
"1645","Avant 1919","968","9","11,8 %","78358","maisons-laffitte"
"1646","De 1919 à 1945","1 162","11","8,6 %","78358","maisons-laffitte"
"1647","De 1946 à 1970","3 518","34","20,8 %","78358","maisons-laffitte"
"1648","De 1971 à 1990","2 249","21","28,6 %","78358","maisons-laffitte"
"1649","De 1991 à 2005","1 515","14","15,9 %","78358","maisons-laffitte"
"1650","Après 2005","943","9","14,3 %","78358","maisons-laffitte"
"1651","Avant 1919","1 049","6","11,8 %","78361","mantes-la-jolie"
"1652","De 1919 à 1945","1 202","7","8,6 %","78361","mantes-la-jolie"
"1653","De 1946 à 1970","6 610","38","20,8 %","78361","mantes-la-jolie"
"1654","De 1971 à 1990","4 390","25","28,6 %","78361","mantes-la-jolie"
"1655","De 1991 à 2005","1 531","9","15,9 %","78361","mantes-la-jolie"
"1656","Après 2005","2 199","12","14,3 %","78361","mantes-la-jolie"
"1657","Avant 1919","187","2","11,8 %","78362","mantes-la-ville"
"1658","De 1919 à 1945","534","6","8,6 %","78362","mantes-la-ville"
"1659","De 1946 à 1970","2 348","27","20,8 %","78362","mantes-la-ville"
"1660","De 1971 à 1990","2 949","34","28,6 %","78362","mantes-la-ville"
"1661","De 1991 à 2005","863","10","15,9 %","78362","mantes-la-ville"
"1662","Après 2005","1 588","18","14,3 %","78362","mantes-la-ville"
"1663","Avant 1919","62","0","11,8 %","78423","montigny-le-bretonneux"
"1664","De 1919 à 1945","30","0","8,6 %","78423","montigny-le-bretonneux"
"1665","De 1946 à 1970","455","3","20,8 %","78423","montigny-le-bretonneux"
"1666","De 1971 à 1990","9 808","69","28,6 %","78423","montigny-le-bretonneux"
"1667","De 1991 à 2005","2 586","18","15,9 %","78423","montigny-le-bretonneux"
"1668","Après 2005","1 250","8","14,3 %","78423","montigny-le-bretonneux"
"1669","Avant 1919","294","2","11,8 %","78440","les-mureaux"
"1670","De 1919 à 1945","636","5","8,6 %","78440","les-mureaux"
"1671","De 1946 à 1970","3 453","30","20,8 %","78440","les-mureaux"
"1672","De 1971 à 1990","4 428","38","28,6 %","78440","les-mureaux"
"1673","De 1991 à 2005","1 118","9","15,9 %","78440","les-mureaux"
"1674","Après 2005","1 582","13","14,3 %","78440","les-mureaux"
"1675","Avant 1919","175","1","11,8 %","78490","plaisir"
"1676","De 1919 à 1945","116","0","8,6 %","78490","plaisir"
"1677","De 1946 à 1970","2 026","16","20,8 %","78490","plaisir"
"1678","De 1971 à 1990","6 446","52","28,6 %","78490","plaisir"
"1679","De 1991 à 2005","2 772","22","15,9 %","78490","plaisir"
"1680","Après 2005","790","6","14,3 %","78490","plaisir"
"1681","Avant 1919","599","3","11,8 %","78498","poissy"
"1682","De 1919 à 1945","1 146","6","8,6 %","78498","poissy"
"1683","De 1946 à 1970","6 345","37","20,8 %","78498","poissy"
"1684","De 1971 à 1990","5 033","29","28,6 %","78498","poissy"
"1685","De 1991 à 2005","2 183","12","15,9 %","78498","poissy"
"1686","Après 2005","1 865","10","14,3 %","78498","poissy"
"1687","Avant 1919","774","6","11,8 %","78517","rambouillet"
"1688","De 1919 à 1945","457","3","8,6 %","78517","rambouillet"
"1689","De 1946 à 1970","2 476","19","20,8 %","78517","rambouillet"
"1690","De 1971 à 1990","5 410","42","28,6 %","78517","rambouillet"
"1691","De 1991 à 2005","1 822","14","15,9 %","78517","rambouillet"
"1692","Après 2005","1 778","14","14,3 %","78517","rambouillet"
"1693","Avant 1919","115","1","11,8 %","78545","saint-cyr-l-ecole"
"1694","De 1919 à 1945","463","5","8,6 %","78545","saint-cyr-l-ecole"
"1695","De 1946 à 1970","2 629","31","20,8 %","78545","saint-cyr-l-ecole"
"1696","De 1971 à 1990","1 881","22","28,6 %","78545","saint-cyr-l-ecole"
"1697","De 1991 à 2005","1 278","15","15,9 %","78545","saint-cyr-l-ecole"
"1698","Après 2005","2 098","24","14,3 %","78545","saint-cyr-l-ecole"
"1699","Avant 1919","2 946","15","11,8 %","78551","saint-germain-en-laye"
"1700","De 1919 à 1945","1 394","7","8,6 %","78551","saint-germain-en-laye"
"1701","De 1946 à 1970","5 939","30","20,8 %","78551","saint-germain-en-laye"
"1702","De 1971 à 1990","6 371","32","28,6 %","78551","saint-germain-en-laye"
"1703","De 1991 à 2005","1 965","10","15,9 %","78551","saint-germain-en-laye"
"1704","Après 2005","1 042","5","14,3 %","78551","saint-germain-en-laye"
"1705","Avant 1919","249","1","11,8 %","78586","sartrouville"
"1706","De 1919 à 1945","2 180","10","8,6 %","78586","sartrouville"
"1707","De 1946 à 1970","6 175","29","20,8 %","78586","sartrouville"
"1708","De 1971 à 1990","7 921","37","28,6 %","78586","sartrouville"
"1709","De 1991 à 2005","2 335","11","15,9 %","78586","sartrouville"
"1710","Après 2005","2 255","10","14,3 %","78586","sartrouville"
"1711","Avant 1919","104","0","11,8 %","78621","trappes"
"1712","De 1919 à 1945","403","3","8,6 %","78621","trappes"
"1713","De 1946 à 1970","3 281","27","20,8 %","78621","trappes"
"1714","De 1971 à 1990","4 240","35","28,6 %","78621","trappes"
"1715","De 1991 à 2005","1 342","11","15,9 %","78621","trappes"
"1716","Après 2005","2 760","22","14,3 %","78621","trappes"
"1717","Avant 1919","75","0","11,8 %","78640","velizy-villacoublay"
"1718","De 1919 à 1945","366","3","8,6 %","78640","velizy-villacoublay"
"1719","De 1946 à 1970","3 317","32","20,8 %","78640","velizy-villacoublay"
"1720","De 1971 à 1990","3 573","34","28,6 %","78640","velizy-villacoublay"
"1721","De 1991 à 2005","932","9","15,9 %","78640","velizy-villacoublay"
"1722","Après 2005","2 016","19","14,3 %","78640","velizy-villacoublay"
"1723","Avant 1919","9 240","24","11,8 %","78646","versailles"
"1724","De 1919 à 1945","3 386","9","8,6 %","78646","versailles"
"1725","De 1946 à 1970","10 595","28","20,8 %","78646","versailles"
"1726","De 1971 à 1990","9 659","26","28,6 %","78646","versailles"
"1727","De 1991 à 2005","2 718","7","15,9 %","78646","versailles"
"1728","Après 2005","1 492","4","14,3 %","78646","versailles"
"1729","Avant 1919","3 459","11","11,8 %","79191","niort"
"1730","De 1919 à 1945","2 172","7","8,6 %","79191","niort"
"1731","De 1946 à 1970","7 918","25","20,8 %","79191","niort"
"1732","De 1971 à 1990","8 956","28","28,6 %","79191","niort"
"1733","De 1991 à 2005","4 701","15","15,9 %","79191","niort"
"1734","Après 2005","3 755","12","14,3 %","79191","niort"
"1735","Avant 1919","862","7","11,8 %","80001","abbeville"
"1736","De 1919 à 1945","1 027","9","8,6 %","80001","abbeville"
"1737","De 1946 à 1970","3 725","33","20,8 %","80001","abbeville"
"1738","De 1971 à 1990","3 355","30","28,6 %","80001","abbeville"
"1739","De 1991 à 2005","1 086","9","15,9 %","80001","abbeville"
"1740","Après 2005","1 145","10","14,3 %","80001","abbeville"
"1741","Avant 1919","4 696","7","11,8 %","80021","amiens"
"1742","De 1919 à 1945","8 973","13","8,6 %","80021","amiens"
"1743","De 1946 à 1970","19 275","28","20,8 %","80021","amiens"
"1744","De 1971 à 1990","16 575","24","28,6 %","80021","amiens"
"1745","De 1991 à 2005","9 196","13","15,9 %","80021","amiens"
"1746","Après 2005","8 347","12","14,3 %","80021","amiens"
"1747","Avant 1919","2 737","10","11,8 %","81004","albi"
"1748","De 1919 à 1945","2 310","8","8,6 %","81004","albi"
"1749","De 1946 à 1970","6 780","25","20,8 %","81004","albi"
"1750","De 1971 à 1990","7 785","29","28,6 %","81004","albi"
"1751","De 1991 à 2005","4 222","16","15,9 %","81004","albi"
"1752","Après 2005","2 498","9","14,3 %","81004","albi"
"1753","Avant 1919","2 366","11","11,8 %","81065","castres"
"1754","De 1919 à 1945","1 746","8","8,6 %","81065","castres"
"1755","De 1946 à 1970","6 021","29","20,8 %","81065","castres"
"1756","De 1971 à 1990","6 513","31","28,6 %","81065","castres"
"1757","De 1991 à 2005","2 322","11","15,9 %","81065","castres"
"1758","Après 2005","1 520","7","14,3 %","81065","castres"
"1759","Avant 1919","3 011","10","11,8 %","82121","montauban"
"1760","De 1919 à 1945","2 701","9","8,6 %","82121","montauban"
"1761","De 1946 à 1970","5 612","19","20,8 %","82121","montauban"
"1762","De 1971 à 1990","7 249","25","28,6 %","82121","montauban"
"1763","De 1991 à 2005","5 316","18","15,9 %","82121","montauban"
"1764","Après 2005","4 297","15","14,3 %","82121","montauban"
"1765","Avant 1919","1 779","10","11,8 %","83050","draguignan"
"1766","De 1919 à 1945","717","4","8,6 %","83050","draguignan"
"1767","De 1946 à 1970","3 297","18","20,8 %","83050","draguignan"
"1768","De 1971 à 1990","5 754","32","28,6 %","83050","draguignan"
"1769","De 1991 à 2005","3 184","18","15,9 %","83050","draguignan"
"1770","Après 2005","2 842","16","14,3 %","83050","draguignan"
"1771","Avant 1919","571","2","11,8 %","83061","frejus"
"1772","De 1919 à 1945","541","2","8,6 %","83061","frejus"
"1773","De 1946 à 1970","5 779","21","20,8 %","83061","frejus"
"1774","De 1971 à 1990","9 916","36","28,6 %","83061","frejus"
"1775","De 1991 à 2005","5 421","20","15,9 %","83061","frejus"
"1776","Après 2005","4 923","18","14,3 %","83061","frejus"
"1777","Avant 1919","433","3","11,8 %","83062","la-garde"
"1778","De 1919 à 1945","278","2","8,6 %","83062","la-garde"
"1779","De 1946 à 1970","2 790","22","20,8 %","83062","la-garde"
"1780","De 1971 à 1990","5 156","42","28,6 %","83062","la-garde"
"1781","De 1991 à 2005","2 352","19","15,9 %","83062","la-garde"
"1782","Après 2005","1 216","9","14,3 %","83062","la-garde"
"1783","Avant 1919","3 024","11","11,8 %","83069","hyeres"
"1784","De 1919 à 1945","1 232","4","8,6 %","83069","hyeres"
"1785","De 1946 à 1970","6 877","25","20,8 %","83069","hyeres"
"1786","De 1971 à 1990","9 709","35","28,6 %","83069","hyeres"
"1787","De 1991 à 2005","4 022","14","15,9 %","83069","hyeres"
"1788","Après 2005","2 392","8","14,3 %","83069","hyeres"
"1789","Avant 1919","410","2","11,8 %","83118","saint-raphael"
"1790","De 1919 à 1945","717","3","8,6 %","83118","saint-raphael"
"1791","De 1946 à 1970","4 234","22","20,8 %","83118","saint-raphael"
"1792","De 1971 à 1990","6 437","34","28,6 %","83118","saint-raphael"
"1793","De 1991 à 2005","3 604","19","15,9 %","83118","saint-raphael"
"1794","Après 2005","3 433","18","14,3 %","83118","saint-raphael"
"1795","Avant 1919","1 112","3","11,8 %","83126","la-seyne-sur-mer"
"1796","De 1919 à 1945","1 853","6","8,6 %","83126","la-seyne-sur-mer"
"1797","De 1946 à 1970","9 162","31","20,8 %","83126","la-seyne-sur-mer"
"1798","De 1971 à 1990","9 937","33","28,6 %","83126","la-seyne-sur-mer"
"1799","De 1991 à 2005","2 453","8","15,9 %","83126","la-seyne-sur-mer"
"1800","Après 2005","4 943","16","14,3 %","83126","la-seyne-sur-mer"
"1801","Avant 1919","676","3","11,8 %","83129","six-fours-les-plages"
"1802","De 1919 à 1945","382","2","8,6 %","83129","six-fours-les-plages"
"1803","De 1946 à 1970","4 098","22","20,8 %","83129","six-fours-les-plages"
"1804","De 1971 à 1990","7 886","43","28,6 %","83129","six-fours-les-plages"
"1805","De 1991 à 2005","3 084","16","15,9 %","83129","six-fours-les-plages"
"1806","Après 2005","2 144","11","14,3 %","83129","six-fours-les-plages"
"1807","Avant 1919","8 327","9","11,8 %","83137","toulon"
"1808","De 1919 à 1945","13 447","15","8,6 %","83137","toulon"
"1809","De 1946 à 1970","35 267","39","20,8 %","83137","toulon"
"1810","De 1971 à 1990","20 513","22","28,6 %","83137","toulon"
"1811","De 1991 à 2005","5 953","6","15,9 %","83137","toulon"
"1812","Après 2005","5 917","6","14,3 %","83137","toulon"
"1813","Avant 1919","456","3","11,8 %","83144","la-valette-du-var"
"1814","De 1919 à 1945","360","3","8,6 %","83144","la-valette-du-var"
"1815","De 1946 à 1970","3 105","26","20,8 %","83144","la-valette-du-var"
"1816","De 1971 à 1990","4 543","39","28,6 %","83144","la-valette-du-var"
"1817","De 1991 à 2005","1 147","9","15,9 %","83144","la-valette-du-var"
"1818","Après 2005","1 982","17","14,3 %","83144","la-valette-du-var"
"1819","Avant 1919","4 048","9","11,8 %","84007","avignon"
"1820","De 1919 à 1945","3 075","7","8,6 %","84007","avignon"
"1821","De 1946 à 1970","13 829","32","20,8 %","84007","avignon"
"1822","De 1971 à 1990","11 870","27","28,6 %","84007","avignon"
"1823","De 1991 à 2005","5 687","13","15,9 %","84007","avignon"
"1824","Après 2005","4 404","10","14,3 %","84007","avignon"
"1825","Avant 1919","1 567","11","11,8 %","84031","carpentras"
"1826","De 1919 à 1945","1 244","9","8,6 %","84031","carpentras"
"1827","De 1946 à 1970","3 753","27","20,8 %","84031","carpentras"
"1828","De 1971 à 1990","3 546","26","28,6 %","84031","carpentras"
"1829","De 1991 à 2005","1 559","11","15,9 %","84031","carpentras"
"1830","Après 2005","1 800","13","14,3 %","84031","carpentras"
"1831","Avant 1919","993","8","11,8 %","84035","cavaillon"
"1832","De 1919 à 1945","1 024","8","8,6 %","84035","cavaillon"
"1833","De 1946 à 1970","3 329","27","20,8 %","84035","cavaillon"
"1834","De 1971 à 1990","3 795","31","28,6 %","84035","cavaillon"
"1835","De 1991 à 2005","1 326","11","15,9 %","84035","cavaillon"
"1836","Après 2005","1 537","12","14,3 %","84035","cavaillon"
"1837","Avant 1919","1 170","8","11,8 %","84087","orange"
"1838","De 1919 à 1945","1 182","9","8,6 %","84087","orange"
"1839","De 1946 à 1970","3 643","27","20,8 %","84087","orange"
"1840","De 1971 à 1990","4 177","31","28,6 %","84087","orange"
"1841","De 1991 à 2005","1 945","14","15,9 %","84087","orange"
"1842","Après 2005","985","7","14,3 %","84087","orange"
"1843","Avant 1919","841","9","11,8 %","84089","pertuis"
"1844","De 1919 à 1945","455","4","8,6 %","84089","pertuis"
"1845","De 1946 à 1970","1 293","13","20,8 %","84089","pertuis"
"1846","De 1971 à 1990","3 321","35","28,6 %","84089","pertuis"
