Catégorie socioprofessionnelle,2010,%,2015,%.1,2021,%.2,code_insee,Ville
Retraités,4254,"24,0",4025,"22,4",3869,"22,1",76498,le-petit-quevilly
Autres personnes sans activité professionnelle,2915,"16,4",3356,"18,7",3571,"20,4",76498,le-petit-quevilly
Ensemble,95198,"100,0",94509,"100,0",98839,"100,0",76540,rouen
Agriculteurs exploitants,69,"0,1",37,"0,0",44,"0,0",76540,rouen
"Artisans, commerçants, chefs d'entreprise",2005,"2,1",2180,"2,3",2427,"2,5",76540,rouen
Cadres et professions intellectuelles supérieures,12091,"12,7",12764,"13,5",14710,"14,9",76540,rouen
Professions intermédiaires,15766,"16,6",15069,"15,9",15661,"15,8",76540,rouen
Employés,15139,"15,9",14958,"15,8",14200,"14,4",76540,rouen
Ouvriers,8608,"9,0",8178,"8,7",7881,"8,0",76540,rouen
Retraités,18762,"19,7",17896,"18,9",17762,"18,0",76540,rouen
Autres personnes sans activité professionnelle,22759,"23,9",23426,"24,8",26153,"26,5",76540,rouen
Ensemble,22309,"100,0",22723,"100,0",22851,"100,0",76575,saint-etienne-du-rouvray
Agriculteurs exploitants,0,"0,0",13,"0,1",7,"0,0",76575,saint-etienne-du-rouvray
"Artisans, commerçants, chefs d'entreprise",388,"1,7",454,"2,0",467,"2,0",76575,saint-etienne-du-rouvray
Cadres et professions intellectuelles supérieures,781,"3,5",973,"4,3",864,"3,8",76575,saint-etienne-du-rouvray
Professions intermédiaires,2390,"10,7",2726,"12,0",2640,"11,6",76575,saint-etienne-du-rouvray
Employés,3749,"16,8",3885,"17,1",3509,"15,4",76575,saint-etienne-du-rouvray
Ouvriers,3829,"17,2",3298,"14,5",3503,"15,3",76575,saint-etienne-du-rouvray
Retraités,5837,"26,2",5850,"25,7",5693,"24,9",76575,saint-etienne-du-rouvray
Autres personnes sans activité professionnelle,5334,"23,9",5524,"24,3",6167,"27,0",76575,saint-etienne-du-rouvray
Ensemble,24236,"100,0",23710,"100,0",23253,"100,0",76681,sotteville-les-rouen
Agriculteurs exploitants,3,"0,0",4,"0,0",4,"0,0",76681,sotteville-les-rouen
"Artisans, commerçants, chefs d'entreprise",487,"2,0",513,"2,2",507,"2,2",76681,sotteville-les-rouen
Cadres et professions intellectuelles supérieures,1462,"6,0",1655,"7,0",1780,"7,7",76681,sotteville-les-rouen
Professions intermédiaires,3783,"15,6",3661,"15,4",3423,"14,7",76681,sotteville-les-rouen
Employés,4494,"18,5",4240,"17,9",4073,"17,5",76681,sotteville-les-rouen
Ouvriers,3178,"13,1",2864,"12,1",2673,"11,5",76681,sotteville-les-rouen
Retraités,7165,"29,6",7049,"29,7",6717,"28,9",76681,sotteville-les-rouen
Autres personnes sans activité professionnelle,3664,"15,1",3723,"15,7",4077,"17,5",76681,sotteville-les-rouen
Ensemble,17309,"100,0",20399,"100,0",21082,"100,0",77058,bussy-saint-georges
Agriculteurs exploitants,11,"0,1",0,"0,0",0,"0,0",77058,bussy-saint-georges
"Artisans, commerçants, chefs d'entreprise",535,"3,1",860,"4,2",674,"3,2",77058,bussy-saint-georges
Cadres et professions intellectuelles supérieures,3594,"20,8",4478,"22,0",4805,"22,8",77058,bussy-saint-georges
Professions intermédiaires,4132,"23,9",4489,"22,0",4177,"19,8",77058,bussy-saint-georges
Employés,3523,"20,4",4203,"20,6",3902,"18,5",77058,bussy-saint-georges
Ouvriers,1286,"7,4",1268,"6,2",1331,"6,3",77058,bussy-saint-georges
Retraités,1276,"7,4",1671,"8,2",2471,"11,7",77058,bussy-saint-georges
Autres personnes sans activité professionnelle,2952,"17,1",3430,"16,8",3722,"17,7",77058,bussy-saint-georges
Ensemble,19396,"100,0",19818,"100,0",20007,"100,0",77083,champs-sur-marne
Agriculteurs exploitants,4,"0,0",3,"0,0",13,"0,1",77083,champs-sur-marne
"Artisans, commerçants, chefs d'entreprise",511,"2,6",462,"2,3",564,"2,8",77083,champs-sur-marne
Cadres et professions intellectuelles supérieures,2505,"12,9",2876,"14,5",2834,"14,2",77083,champs-sur-marne
Professions intermédiaires,3653,"18,8",3611,"18,2",3415,"17,1",77083,champs-sur-marne
Employés,4077,"21,0",3955,"20,0",3789,"18,9",77083,champs-sur-marne
Ouvriers,1999,"10,3",1740,"8,8",1722,"8,6",77083,champs-sur-marne
Retraités,2829,"14,6",3289,"16,6",3403,"17,0",77083,champs-sur-marne
Autres personnes sans activité professionnelle,3817,"19,7",3881,"19,6",4266,"21,3",77083,champs-sur-marne
Ensemble,41548,"100,0",41634,"100,0",42866,"100,0",77108,chelles
Agriculteurs exploitants,5,"0,0",5,"0,0",0,"0,0",77108,chelles
"Artisans, commerçants, chefs d'entreprise",1087,"2,6",1154,"2,8",1339,"3,1",77108,chelles
Cadres et professions intellectuelles supérieures,4440,"10,7",4329,"10,4",5196,"12,1",77108,chelles
Professions intermédiaires,7705,"18,5",7285,"17,5",7411,"17,3",77108,chelles
Employés,8243,"19,8",8570,"20,6",8174,"19,1",77108,chelles
Ouvriers,4710,"11,3",4692,"11,3",4584,"10,7",77108,chelles
Retraités,8882,"21,4",8657,"20,8",9117,"21,3",77108,chelles
Autres personnes sans activité professionnelle,6475,"15,6",6943,"16,7",7045,"16,4",77108,chelles
Ensemble,16909,"100,0",17424,"100,0",17961,"100,0",77122,combs-la-ville
Agriculteurs exploitants,6,"0,0",6,"0,0",0,"0,0",77122,combs-la-ville
"Artisans, commerçants, chefs d'entreprise",284,"1,7",354,"2,0",387,"2,2",77122,combs-la-ville
Cadres et professions intellectuelles supérieures,1815,"10,7",1999,"11,5",1937,"10,8",77122,combs-la-ville
Professions intermédiaires,3351,"19,8",3362,"19,3",3126,"17,4",77122,combs-la-ville
Employés,3539,"20,9",3361,"19,3",3424,"19,1",77122,combs-la-ville
Ouvriers,2041,"12,1",1835,"10,5",2057,"11,5",77122,combs-la-ville
Retraités,3215,"19,0",3819,"21,9",4227,"23,5",77122,combs-la-ville
Autres personnes sans activité professionnelle,2656,"15,7",2687,"15,4",2804,"15,6",77122,combs-la-ville
Ensemble,16475,"100,0",16990,"100,0",17752,"100,0",77152,dammarie-les-lys
Agriculteurs exploitants,3,"0,0",7,"0,0",9,"0,1",77152,dammarie-les-lys
"Artisans, commerçants, chefs d'entreprise",416,"2,5",334,"2,0",422,"2,4",77152,dammarie-les-lys
Cadres et professions intellectuelles supérieures,1078,"6,5",1260,"7,4",1698,"9,6",77152,dammarie-les-lys
Professions intermédiaires,2376,"14,4",2582,"15,2",2653,"14,9",77152,dammarie-les-lys
Employés,3248,"19,7",3309,"19,5",3261,"18,4",77152,dammarie-les-lys
Ouvriers,2743,"16,7",2380,"14,0",2386,"13,4",77152,dammarie-les-lys
Retraités,3525,"21,4",3792,"22,3",3421,"19,3",77152,dammarie-les-lys
Autres personnes sans activité professionnelle,3085,"18,7",3325,"19,6",3903,"22,0",77152,dammarie-les-lys
Ensemble,16432,"100,0",17272,"100,0",17479,"100,0",77243,lagny-sur-marne
Agriculteurs exploitants,5,"0,0",9,"0,0",0,"0,0",77243,lagny-sur-marne
"Artisans, commerçants, chefs d'entreprise",443,"2,7",527,"3,1",517,"3,0",77243,lagny-sur-marne
Cadres et professions intellectuelles supérieures,1943,"11,8",2201,"12,7",2590,"14,8",77243,lagny-sur-marne
Professions intermédiaires,3042,"18,5",3269,"18,9",3076,"17,6",77243,lagny-sur-marne
Employés,2998,"18,2",3067,"17,8",3108,"17,8",77243,lagny-sur-marne
Ouvriers,2201,"13,4",1944,"11,3",1694,"9,7",77243,lagny-sur-marne
Retraités,3351,"20,4",3639,"21,1",4083,"23,4",77243,lagny-sur-marne
Autres personnes sans activité professionnelle,2449,"14,9",2616,"15,1",2410,"13,8",77243,lagny-sur-marne
Ensemble,39340,"100,0",41437,"100,0",43338,"100,0",77284,meaux
Agriculteurs exploitants,35,"0,1",10,"0,0",0,"0,0",77284,meaux
"Artisans, commerçants, chefs d'entreprise",749,"1,9",931,"2,2",939,"2,2",77284,meaux
Cadres et professions intellectuelles supérieures,2488,"6,3",2870,"6,9",3347,"7,7",77284,meaux
Professions intermédiaires,5700,"14,5",6491,"15,7",6555,"15,1",77284,meaux
Employés,9084,"23,1",9449,"22,8",9448,"21,8",77284,meaux
Ouvriers,6413,"16,3",6134,"14,8",5871,"13,5",77284,meaux
Retraités,7370,"18,7",7416,"17,9",8328,"19,2",77284,meaux
Autres personnes sans activité professionnelle,7501,"19,1",8135,"19,6",8851,"20,4",77284,meaux
Ensemble,15670,"100,0",15372,"100,0",15330,"100,0",77285,le-mee-sur-seine
Agriculteurs exploitants,3,"0,0",4,"0,0",7,"0,0",77285,le-mee-sur-seine
"Artisans, commerçants, chefs d'entreprise",310,"2,0",293,"1,9",373,"2,4",77285,le-mee-sur-seine
Cadres et professions intellectuelles supérieures,794,"5,1",831,"5,4",792,"5,2",77285,le-mee-sur-seine
Professions intermédiaires,2354,"15,0",2184,"14,2",2225,"14,5",77285,le-mee-sur-seine
Employés,3632,"23,2",3734,"24,3",3276,"21,4",77285,le-mee-sur-seine
Ouvriers,2806,"17,9",2453,"16,0",2051,"13,4",77285,le-mee-sur-seine
Retraités,2753,"17,6",2906,"18,9",3311,"21,6",77285,le-mee-sur-seine
Autres personnes sans activité professionnelle,3018,"19,3",2967,"19,3",3296,"21,5",77285,le-mee-sur-seine
Ensemble,30879,"100,0",31079,"100,0",32912,"100,0",77288,melun
Agriculteurs exploitants,3,"0,0",9,"0,0",25,"0,1",77288,melun
"Artisans, commerçants, chefs d'entreprise",533,"1,7",685,"2,2",702,"2,1",77288,melun
Cadres et professions intellectuelles supérieures,2993,"9,7",3170,"10,2",3016,"9,2",77288,melun
Professions intermédiaires,4760,"15,4",4510,"14,5",4496,"13,7",77288,melun
Employés,7136,"23,1",6786,"21,8",7055,"21,4",77288,melun
Ouvriers,4735,"15,3",4213,"13,6",4557,"13,8",77288,melun
Retraités,4892,"15,8",5326,"17,1",4714,"14,3",77288,melun
Autres personnes sans activité professionnelle,5826,"18,9",6379,"20,5",8347,"25,4",77288,melun
Ensemble,14253,"100,0",15286,"100,0",15897,"100,0",77294,mitry-mory
Agriculteurs exploitants,10,"0,1",0,"0,0",0,"0,0",77294,mitry-mory
"Artisans, commerçants, chefs d'entreprise",426,"3,0",460,"3,0",519,"3,3",77294,mitry-mory
Cadres et professions intellectuelles supérieures,995,"7,0",1062,"6,9",1409,"8,9",77294,mitry-mory
Professions intermédiaires,2555,"17,9",2612,"17,1",2919,"18,4",77294,mitry-mory
Employés,3069,"21,5",3118,"20,4",3021,"19,0",77294,mitry-mory
Ouvriers,2270,"15,9",2390,"15,6",2230,"14,0",77294,mitry-mory
Retraités,2790,"19,6",2879,"18,8",2960,"18,6",77294,mitry-mory
Autres personnes sans activité professionnelle,2137,"15,0",2764,"18,1",2838,"17,9",77294,mitry-mory
Ensemble,12808,"100,0",14506,"100,0",16402,"100,0",77305,montereau-fault-yonne
Agriculteurs exploitants,5,"0,0",0,"0,0",9,"0,1",77305,montereau-fault-yonne
"Artisans, commerçants, chefs d'entreprise",265,"2,1",300,"2,1",454,"2,8",77305,montereau-fault-yonne
Cadres et professions intellectuelles supérieures,408,"3,2",441,"3,0",459,"2,8",77305,montereau-fault-yonne
Professions intermédiaires,1309,"10,2",1401,"9,7",1573,"9,6",77305,montereau-fault-yonne
Employés,2322,"18,1",2897,"20,0",2924,"17,8",77305,montereau-fault-yonne
Ouvriers,2379,"18,6",2423,"16,7",2719,"16,6",77305,montereau-fault-yonne
Retraités,3110,"24,3",3257,"22,5",3008,"18,3",77305,montereau-fault-yonne
Autres personnes sans activité professionnelle,3010,"23,5",3787,"26,1",5256,"32,0",77305,montereau-fault-yonne
Ensemble,16249,"100,0",16278,"100,0",16852,"100,0",77350,ozoir-la-ferriere
Agriculteurs exploitants,3,"0,0",0,"0,0",4,"0,0",77350,ozoir-la-ferriere
"Artisans, commerçants, chefs d'entreprise",549,"3,4",570,"3,5",602,"3,6",77350,ozoir-la-ferriere
Cadres et professions intellectuelles supérieures,2121,"13,1",2275,"14,0",2306,"13,7",77350,ozoir-la-ferriere
Professions intermédiaires,3021,"18,6",2977,"18,3",2964,"17,6",77350,ozoir-la-ferriere
Employés,2850,"17,5",2620,"16,1",2674,"15,9",77350,ozoir-la-ferriere
Ouvriers,1949,"12,0",1701,"10,4",1890,"11,2",77350,ozoir-la-ferriere
Retraités,3148,"19,4",3632,"22,3",3786,"22,5",77350,ozoir-la-ferriere
Autres personnes sans activité professionnelle,2608,"16,1",2503,"15,4",2626,"15,6",77350,ozoir-la-ferriere
Ensemble,27886,"100,0",30060,"100,0",30824,"100,0",77373,pontault-combault
Agriculteurs exploitants,3,"0,0",0,"0,0",0,"0,0",77373,pontault-combault
"Artisans, commerçants, chefs d'entreprise",851,"3,1",1022,"3,4",1127,"3,7",77373,pontault-combault
Cadres et professions intellectuelles supérieures,2784,"10,0",3153,"10,5",3322,"10,8",77373,pontault-combault
Professions intermédiaires,5254,"18,8",5442,"18,1",5511,"17,9",77373,pontault-combault
Employés,5964,"21,4",6378,"21,2",6046,"19,6",77373,pontault-combault
Ouvriers,3866,"13,9",3833,"12,8",3396,"11,0",77373,pontault-combault
Retraités,4929,"17,7",5443,"18,1",6199,"20,1",77373,pontault-combault
Autres personnes sans activité professionnelle,4236,"15,2",4789,"15,9",5223,"16,9",77373,pontault-combault
Ensemble,17169,"100,0",17617,"100,0",18188,"100,0",77390,roissy-en-brie
Agriculteurs exploitants,0,"0,0",0,"0,0",0,"0,0",77390,roissy-en-brie
"Artisans, commerçants, chefs d'entreprise",387,"2,3",503,"2,9",551,"3,0",77390,roissy-en-brie
Cadres et professions intellectuelles supérieures,1510,"8,8",1642,"9,3",1979,"10,9",77390,roissy-en-brie
Professions intermédiaires,3203,"18,7",3286,"18,7",3157,"17,4",77390,roissy-en-brie
Employés,3877,"22,6",3787,"21,5",3494,"19,2",77390,roissy-en-brie
Ouvriers,2338,"13,6",2258,"12,8",2287,"12,6",77390,roissy-en-brie
Retraités,2811,"16,4",3021,"17,1",3476,"19,1",77390,roissy-en-brie
Autres personnes sans activité professionnelle,3043,"17,7",3119,"17,7",3244,"17,8",77390,roissy-en-brie
Ensemble,20811,"100,0",21999,"100,0",23208,"100,0",77445,savigny-le-temple
Agriculteurs exploitants,8,"0,0",0,"0,0",8,"0,0",77445,savigny-le-temple
"Artisans, commerçants, chefs d'entreprise",432,"2,1",568,"2,6",496,"2,1",77445,savigny-le-temple
Cadres et professions intellectuelles supérieures,1799,"8,6",1819,"8,3",1825,"7,9",77445,savigny-le-temple
Professions intermédiaires,4159,"20,0",4060,"18,5",4334,"18,7",77445,savigny-le-temple
Employés,5180,"24,9",5311,"24,1",5167,"22,3",77445,savigny-le-temple
Ouvriers,3000,"14,4",3155,"14,3",3053,"13,2",77445,savigny-le-temple
Retraités,2395,"11,5",2891,"13,1",3383,"14,6",77445,savigny-le-temple
Autres personnes sans activité professionnelle,3837,"18,4",4196,"19,1",4944,"21,3",77445,savigny-le-temple
Ensemble,17362,"100,0",17798,"100,0",17919,"100,0",77468,torcy
Agriculteurs exploitants,1,"0,0",0,"0,0",0,"0,0",77468,torcy
"Artisans, commerçants, chefs d'entreprise",345,"2,0",422,"2,4",431,"2,4",77468,torcy
Cadres et professions intellectuelles supérieures,1824,"10,5",1963,"11,0",2019,"11,3",77468,torcy
Professions intermédiaires,3423,"19,7",3555,"20,0",3232,"18,0",77468,torcy
Employés,3972,"22,9",4293,"24,1",3809,"21,3",77468,torcy
Ouvriers,2336,"13,5",2108,"11,8",1971,"11,0",77468,torcy
Retraités,2350,"13,5",2382,"13,4",2994,"16,7",77468,torcy
Autres personnes sans activité professionnelle,3111,"17,9",3075,"17,3",3463,"19,3",77468,torcy
Ensemble,19162,"100,0",19929,"100,0",21038,"100,0",77514,villeparisis
Agriculteurs exploitants,5,"0,0",4,"0,0",4,"0,0",77514,villeparisis
"Artisans, commerçants, chefs d'entreprise",521,"2,7",508,"2,5",631,"3,0",77514,villeparisis
Cadres et professions intellectuelles supérieures,1569,"8,2",1723,"8,6",1571,"7,5",77514,villeparisis
Professions intermédiaires,3901,"20,4",3874,"19,4",3863,"18,4",77514,villeparisis
Employés,4149,"21,6",4303,"21,6",4506,"21,4",77514,villeparisis
Ouvriers,2613,"13,6",2868,"14,4",2900,"13,8",77514,villeparisis
Retraités,3608,"18,8",3421,"17,2",3619,"17,2",77514,villeparisis
Autres personnes sans activité professionnelle,2798,"14,6",3230,"16,2",3945,"18,7",77514,villeparisis
Ensemble,15270,"100,0",16387,"100,0",16865,"100,0",78005,acheres
Agriculteurs exploitants,1,"0,0",7,"0,0",0,"0,0",78005,acheres
"Artisans, commerçants, chefs d'entreprise",279,"1,8",269,"1,6",321,"1,9",78005,acheres
Cadres et professions intellectuelles supérieures,1841,"12,1",2093,"12,8",2776,"16,5",78005,acheres
Professions intermédiaires,3073,"20,1",3049,"18,6",3077,"18,2",78005,acheres
Employés,3426,"22,4",3651,"22,3",3341,"19,8",78005,acheres
Ouvriers,1887,"12,4",1903,"11,6",1730,"10,3",78005,acheres
Retraités,2602,"17,0",2940,"17,9",2819,"16,7",78005,acheres
Autres personnes sans activité professionnelle,2161,"14,2",2473,"15,1",2800,"16,6",78005,acheres
Ensemble,16541,"100,0",16614,"100,0",16382,"100,0",78126,la-celle-saint-cloud
Agriculteurs exploitants,9,"0,1",6,"0,0",7,"0,0",78126,la-celle-saint-cloud
"Artisans, commerçants, chefs d'entreprise",456,"2,8",619,"3,7",644,"3,9",78126,la-celle-saint-cloud
Cadres et professions intellectuelles supérieures,3533,"21,4",3425,"20,6",3610,"22,0",78126,la-celle-saint-cloud
Professions intermédiaires,2489,"15,0",2559,"15,4",2504,"15,3",78126,la-celle-saint-cloud
Employés,2417,"14,6",2319,"14,0",2185,"13,3",78126,la-celle-saint-cloud
Ouvriers,849,"5,1",865,"5,2",895,"5,5",78126,la-celle-saint-cloud
Retraités,3937,"23,8",3889,"23,4",3573,"21,8",78126,la-celle-saint-cloud
Autres personnes sans activité professionnelle,2852,"17,2",2933,"17,7",2965,"18,1",78126,la-celle-saint-cloud
Ensemble,23880,"100,0",24770,"100,0",24492,"100,0",78146,chatou
Agriculteurs exploitants,17,"0,1",5,"0,0",17,"0,1",78146,chatou
"Artisans, commerçants, chefs d'entreprise",769,"3,2",802,"3,2",781,"3,2",78146,chatou
Cadres et professions intellectuelles supérieures,6225,"26,1",6355,"25,7",6928,"28,3",78146,chatou
Professions intermédiaires,4087,"17,1",4300,"17,4",3726,"15,2",78146,chatou
Employés,3051,"12,8",2995,"12,1",2989,"12,2",78146,chatou
Ouvriers,1148,"4,8",1007,"4,1",922,"3,8",78146,chatou
Retraités,4910,"20,6",5416,"21,9",5291,"21,6",78146,chatou
Autres personnes sans activité professionnelle,3672,"15,4",3890,"15,7",3837,"15,7",78146,chatou
Ensemble,26711,"100,0",26268,"100,0",26384,"100,0",78158,le-chesnay-rocquencourt
Agriculteurs exploitants,11,"0,0",0,"0,0",0,"0,0",78158,le-chesnay-rocquencourt
"Artisans, commerçants, chefs d'entreprise",725,"2,7",770,"2,9",855,"3,2",78158,le-chesnay-rocquencourt
Cadres et professions intellectuelles supérieures,6572,"24,6",6249,"23,8",6378,"24,2",78158,le-chesnay-rocquencourt
Professions intermédiaires,4131,"15,5",3983,"15,2",3752,"14,2",78158,le-chesnay-rocquencourt
Employés,3199,"12,0",3089,"11,8",2778,"10,5",78158,le-chesnay-rocquencourt
Ouvriers,849,"3,2",917,"3,5",863,"3,3",78158,le-chesnay-rocquencourt
Retraités,6852,"25,7",7201,"27,4",7595,"28,8",78158,le-chesnay-rocquencourt
Autres personnes sans activité professionnelle,4373,"16,4",4060,"15,5",4165,"15,8",78158,le-chesnay-rocquencourt
Ensemble,28243,"100,0",27679,"100,0",28698,"100,0",78172,conflans-sainte-honorine
Agriculteurs exploitants,5,"0,0",2,"0,0",4,"0,0",78172,conflans-sainte-honorine
"Artisans, commerçants, chefs d'entreprise",685,"2,4",658,"2,4",645,"2,2",78172,conflans-sainte-honorine
Cadres et professions intellectuelles supérieures,4029,"14,3",4315,"15,6",5285,"18,4",78172,conflans-sainte-honorine
Professions intermédiaires,4897,"17,3",5067,"18,3",5161,"18,0",78172,conflans-sainte-honorine
Employés,4902,"17,4",4493,"16,2",4565,"15,9",78172,conflans-sainte-honorine
Ouvriers,2946,"10,4",2436,"8,8",2199,"7,7",78172,conflans-sainte-honorine
Retraités,6419,"22,7",6367,"23,0",6192,"21,6",78172,conflans-sainte-honorine
Autres personnes sans activité professionnelle,4360,"15,4",4341,"15,7",4648,"16,2",78172,conflans-sainte-honorine
Ensemble,20863,"100,0",20071,"100,0",20908,"100,0",78208,elancourt
Agriculteurs exploitants,0,"0,0",0,"0,0",7,"0,0",78208,elancourt
"Artisans, commerçants, chefs d'entreprise",359,"1,7",433,"2,2",442,"2,1",78208,elancourt
Cadres et professions intellectuelles supérieures,3471,"16,6",3451,"17,2",3582,"17,1",78208,elancourt
Professions intermédiaires,4355,"20,9",4268,"21,3",4374,"20,9",78208,elancourt
Employés,4232,"20,3",3500,"17,4",3656,"17,5",78208,elancourt
Ouvriers,1851,"8,9",1749,"8,7",1764,"8,4",78208,elancourt
Retraités,3303,"15,8",3643,"18,2",3707,"17,7",78208,elancourt
Autres personnes sans activité professionnelle,3292,"15,8",3027,"15,1",3376,"16,1",78208,elancourt
Ensemble,21425,"100,0",21477,"100,0",22695,"100,0",78297,guyancourt
Agriculteurs exploitants,0,"0,0",6,"0,0",4,"0,0",78297,guyancourt
"Artisans, commerçants, chefs d'entreprise",360,"1,7",376,"1,7",415,"1,8",78297,guyancourt
Cadres et professions intellectuelles supérieures,4508,"21,0",4462,"20,8",4903,"21,6",78297,guyancourt
Professions intermédiaires,4978,"23,2",4500,"21,0",4319,"19,0",78297,guyancourt
Employés,4335,"20,2",4252,"19,8",3885,"17,1",78297,guyancourt
Ouvriers,1708,"8,0",1700,"7,9",1758,"7,7",78297,guyancourt
Retraités,2218,"10,4",2677,"12,5",3541,"15,6",78297,guyancourt
Autres personnes sans activité professionnelle,3318,"15,5",3504,"16,3",3870,"17,1",78297,guyancourt
Ensemble,25245,"100,0",25628,"100,0",26879,"100,0",78311,houilles
Agriculteurs exploitants,12,"0,0",12,"0,0",0,"0,0",78311,houilles
"Artisans, commerçants, chefs d'entreprise",609,"2,4",602,"2,3",771,"2,9",78311,houilles
Cadres et professions intellectuelles supérieures,5130,"20,3",5716,"22,3",7888,"29,3",78311,houilles
Professions intermédiaires,4721,"18,7",4753,"18,5",4453,"16,6",78311,houilles
Employés,4129,"16,4",4029,"15,7",3577,"13,3",78311,houilles
Ouvriers,2045,"8,1",1835,"7,2",1349,"5,0",78311,houilles
Retraités,5189,"20,6",5279,"20,6",4972,"18,5",78311,houilles
Autres personnes sans activité professionnelle,3410,"13,5",3402,"13,3",3867,"14,4",78311,houilles
Ensemble,18256,"100,0",18846,"100,0",18809,"100,0",78358,maisons-laffitte
Agriculteurs exploitants,14,"0,1",3,"0,0",0,"0,0",78358,maisons-laffitte
"Artisans, commerçants, chefs d'entreprise",553,"3,0",664,"3,5",712,"3,8",78358,maisons-laffitte
Cadres et professions intellectuelles supérieures,5342,"29,3",5323,"28,2",6249,"33,2",78358,maisons-laffitte
Professions intermédiaires,2598,"14,2",2870,"15,2",2726,"14,5",78358,maisons-laffitte
Employés,1823,"10,0",1971,"10,5",1565,"8,3",78358,maisons-laffitte
Ouvriers,500,"2,7",672,"3,6",578,"3,1",78358,maisons-laffitte
Retraités,4674,"25,6",4690,"24,9",4441,"23,6",78358,maisons-laffitte
Autres personnes sans activité professionnelle,2751,"15,1",2653,"14,1",2537,"13,5",78358,maisons-laffitte
Ensemble,33282,"100,0",34319,"100,0",34327,"100,0",78361,mantes-la-jolie
Agriculteurs exploitants,0,"0,0",8,"0,0",14,"0,0",78361,mantes-la-jolie
"Artisans, commerçants, chefs d'entreprise",577,"1,7",837,"2,4",674,"2,0",78361,mantes-la-jolie
Cadres et professions intellectuelles supérieures,2109,"6,3",2204,"6,4",2235,"6,5",78361,mantes-la-jolie
Professions intermédiaires,4391,"13,2",4702,"13,7",4109,"12,0",78361,mantes-la-jolie
Employés,6137,"18,4",6539,"19,1",6021,"17,5",78361,mantes-la-jolie
Ouvriers,5322,"16,0",5137,"15,0",4668,"13,6",78361,mantes-la-jolie
Retraités,5760,"17,3",6683,"19,5",6136,"17,9",78361,mantes-la-jolie
Autres personnes sans activité professionnelle,8986,"27,0",8209,"23,9",10471,"30,5",78361,mantes-la-jolie
Ensemble,15055,"100,0",15111,"100,0",16304,"100,0",78362,mantes-la-ville
Agriculteurs exploitants,3,"0,0",0,"0,0",0,"0,0",78362,mantes-la-ville
"Artisans, commerçants, chefs d'entreprise",262,"1,7",258,"1,7",310,"1,9",78362,mantes-la-ville
Cadres et professions intellectuelles supérieures,1054,"7,0",1076,"7,1",1631,"10,0",78362,mantes-la-ville
Professions intermédiaires,2736,"18,2",2513,"16,6",2524,"15,5",78362,mantes-la-ville
Employés,2890,"19,2",3069,"20,3",3053,"18,7",78362,mantes-la-ville
Ouvriers,2419,"16,1",2410,"15,9",2269,"13,9",78362,mantes-la-ville
Retraités,3292,"21,9",3236,"21,4",3344,"20,5",78362,mantes-la-ville
Autres personnes sans activité professionnelle,2398,"15,9",2550,"16,9",3172,"19,5",78362,mantes-la-ville
Ensemble,26771,"100,0",26427,"100,0",25838,"100,0",78423,montigny-le-bretonneux
Agriculteurs exploitants,6,"0,0",0,"0,0",0,"0,0",78423,montigny-le-bretonneux
"Artisans, commerçants, chefs d'entreprise",429,"1,6",425,"1,6",444,"1,7",78423,montigny-le-bretonneux
Cadres et professions intellectuelles supérieures,7439,"27,8",7099,"26,9",7638,"29,6",78423,montigny-le-bretonneux
Professions intermédiaires,5829,"21,8",5327,"20,2",4293,"16,6",78423,montigny-le-bretonneux
Employés,4282,"16,0",3968,"15,0",3119,"12,1",78423,montigny-le-bretonneux
Ouvriers,1448,"5,4",1239,"4,7",950,"3,7",78423,montigny-le-bretonneux
Retraités,3225,"12,0",4457,"16,9",5353,"20,7",78423,montigny-le-bretonneux
Autres personnes sans activité professionnelle,4113,"15,4",3912,"14,8",4041,"15,6",78423,montigny-le-bretonneux
Ensemble,23873,"100,0",24216,"100,0",25178,"100,0",78440,les-mureaux
Agriculteurs exploitants,1,"0,0",0,"0,0",4,"0,0",78440,les-mureaux
"Artisans, commerçants, chefs d'entreprise",393,"1,6",511,"2,1",552,"2,2",78440,les-mureaux
Cadres et professions intellectuelles supérieures,1134,"4,7",1225,"5,1",1280,"5,1",78440,les-mureaux
Professions intermédiaires,3107,"13,0",3047,"12,6",3132,"12,4",78440,les-mureaux
Employés,4770,"20,0",4786,"19,8",4903,"19,5",78440,les-mureaux
Ouvriers,4175,"17,5",4284,"17,7",4158,"16,5",78440,les-mureaux
Retraités,4539,"19,0",4813,"19,9",4450,"17,7",78440,les-mureaux
Autres personnes sans activité professionnelle,5754,"24,1",5550,"22,9",6699,"26,6",78440,les-mureaux
Ensemble,24048,"100,0",25087,"100,0",25014,"100,0",78490,plaisir
Agriculteurs exploitants,4,"0,0",0,"0,0",4,"0,0",78490,plaisir
"Artisans, commerçants, chefs d'entreprise",561,"2,3",572,"2,3",546,"2,2",78490,plaisir
Cadres et professions intellectuelles supérieures,3573,"14,9",3765,"15,0",3998,"16,0",78490,plaisir
Professions intermédiaires,4855,"20,2",4822,"19,2",4694,"18,8",78490,plaisir
Employés,5012,"20,8",4857,"19,4",4592,"18,4",78490,plaisir
Ouvriers,2281,"9,5",2204,"8,8",1993,"8,0",78490,plaisir
Retraités,3747,"15,6",4475,"17,8",4783,"19,1",78490,plaisir
