Catégorie ou type de logement,2010,%,2015,%,2021,%,code_insee,Ville
Résidences secondaires et logements occasionnels,243,"1,1",382,"1,7",556,"2,3",92073,suresnes
Logements vacants,967,"4,4",1 215,"5,3",1 431,"6,0",92073,suresnes
,,,,,,,92073,suresnes
Maisons,2 726,"12,5",2 614,"11,5",2 679,"11,2",92073,suresnes
Appartements,18 628,"85,7",19 932,"87,4",21 086,"88,1",92073,suresnes
Ensemble,13 961,"100,0",14 682,"100,0",15 424,"100,0",92075,vanves
Résidences principales,12 536,"89,8",13 175,"89,7",13 410,"86,9",92075,vanves
Résidences secondaires et logements occasionnels,446,"3,2",679,"4,6",885,"5,7",92075,vanves
Logements vacants,979,"7,0",828,"5,6",1 128,"7,3",92075,vanves
,,,,,,,92075,vanves
Maisons,1 090,"7,8",1 145,"7,8",1 137,"7,4",92075,vanves
Appartements,12 649,"90,6",13 246,"90,2",14 065,"91,2",92075,vanves
Ensemble,9 519,"100,0",9 647,"100,0",9 865,"100,0",92078,villeneuve-la-garenne
Résidences principales,9 012,"94,7",8 973,"93,0",9 425,"95,5",92078,villeneuve-la-garenne
Résidences secondaires et logements occasionnels,65,"0,7",66,"0,7",120,"1,2",92078,villeneuve-la-garenne
Logements vacants,442,"4,6",609,"6,3",320,"3,2",92078,villeneuve-la-garenne
,,,,,,,92078,villeneuve-la-garenne
Maisons,705,"7,4",706,"7,3",650,"6,6",92078,villeneuve-la-garenne
Appartements,8 725,"91,7",8 887,"92,1",9 151,"92,8",92078,villeneuve-la-garenne
Ensemble,30 667,"100,0",33 075,"100,0",37 480,"100,0",93001,aubervilliers
Résidences principales,28 981,"94,5",30 940,"93,5",34 904,"93,1",93001,aubervilliers
Résidences secondaires et logements occasionnels,121,"0,4",143,"0,4",392,"1,0",93001,aubervilliers
Logements vacants,1 566,"5,1",1 992,"6,0",2 184,"5,8",93001,aubervilliers
,,,,,,,93001,aubervilliers
Maisons,2 273,"7,4",2 435,"7,4",2 332,"6,2",93001,aubervilliers
Appartements,27 549,"89,8",29 778,"90,0",33 653,"89,8",93001,aubervilliers
Ensemble,29 424,"100,0",30 575,"100,0",32 655,"100,0",93005,aulnay-sous-bois
Résidences principales,28 087,"95,5",28 805,"94,2",31 019,"95,0",93005,aulnay-sous-bois
Résidences secondaires et logements occasionnels,288,"1,0",155,"0,5",302,"0,9",93005,aulnay-sous-bois
Logements vacants,1 049,"3,6",1 614,"5,3",1 334,"4,1",93005,aulnay-sous-bois
,,,,,,,93005,aulnay-sous-bois
Maisons,12 572,"42,7",13 114,"42,9",12 915,"39,5",93005,aulnay-sous-bois
Appartements,16 539,"56,2",17 043,"55,7",18 570,"56,9",93005,aulnay-sous-bois
Ensemble,14 838,"100,0",15 719,"100,0",17 894,"100,0",93006,bagnolet
Résidences principales,13 910,"93,7",14 474,"92,1",16 283,"91,0",93006,bagnolet
Résidences secondaires et logements occasionnels,197,"1,3",182,"1,2",285,"1,6",93006,bagnolet
Logements vacants,732,"4,9",1 063,"6,8",1 326,"7,4",93006,bagnolet
,,,,,,,93006,bagnolet
Maisons,2 076,"14,0",2 112,"13,4",1 981,"11,1",93006,bagnolet
Appartements,12 350,"83,2",13 415,"85,3",15 692,"87,7",93006,bagnolet
Ensemble,19 134,"100,0",20 679,"100,0",22 061,"100,0",93007,le-blanc-mesnil
Résidences principales,18 282,"95,5",19 435,"94,0",20 793,"94,3",93007,le-blanc-mesnil
Résidences secondaires et logements occasionnels,78,"0,4",387,"1,9",304,"1,4",93007,le-blanc-mesnil
Logements vacants,774,"4,0",857,"4,1",964,"4,4",93007,le-blanc-mesnil
,,,,,,,93007,le-blanc-mesnil
Maisons,7 746,"40,5",8 004,"38,7",8 009,"36,3",93007,le-blanc-mesnil
Appartements,11 135,"58,2",12 533,"60,6",13 743,"62,3",93007,le-blanc-mesnil
Ensemble,17 118,"100,0",19 321,"100,0",20 601,"100,0",93008,bobigny
Résidences principales,16 328,"95,4",18 286,"94,6",19 451,"94,4",93008,bobigny
Résidences secondaires et logements occasionnels,58,"0,3",42,"0,2",167,"0,8",93008,bobigny
Logements vacants,731,"4,3",993,"5,1",984,"4,8",93008,bobigny
,,,,,,,93008,bobigny
Maisons,3 445,"20,1",3 781,"19,6",3 636,"17,7",93008,bobigny
Appartements,13 356,"78,0",14 945,"77,3",15 517,"75,3",93008,bobigny
Ensemble,20 149,"100,0",20 535,"100,0",21 936,"100,0",93010,bondy
Résidences principales,19 211,"95,3",19 418,"94,6",20 018,"91,3",93010,bondy
Résidences secondaires et logements occasionnels,114,"0,6",100,"0,5",185,"0,8",93010,bondy
Logements vacants,823,"4,1",1 017,"5,0",1 734,"7,9",93010,bondy
,,,,,,,93010,bondy
Maisons,6 258,"31,1",6 274,"30,6",6 088,"27,8",93010,bondy
Appartements,13 771,"68,3",14 161,"69,0",15 442,"70,4",93010,bondy
Ensemble,9 624,"100,0",9 399,"100,0",9 594,"100,0",93014,clichy-sous-bois
Résidences principales,8 715,"90,6",8 981,"95,6",9 036,"94,2",93014,clichy-sous-bois
Résidences secondaires et logements occasionnels,37,"0,4",16,"0,2",35,"0,4",93014,clichy-sous-bois
Logements vacants,872,"9,1",402,"4,3",523,"5,5",93014,clichy-sous-bois
,,,,,,,93014,clichy-sous-bois
Maisons,1 938,"20,1",2 195,"23,4",2 135,"22,3",93014,clichy-sous-bois
Appartements,7 638,"79,4",7 127,"75,8",7 400,"77,1",93014,clichy-sous-bois
Ensemble,14 015,"100,0",15 466,"100,0",16 989,"100,0",93027,la-courneuve
Résidences principales,13 253,"94,6",14 674,"94,9",16 098,"94,8",93027,la-courneuve
Résidences secondaires et logements occasionnels,61,"0,4",96,"0,6",113,"0,7",93027,la-courneuve
Logements vacants,701,"5,0",695,"4,5",778,"4,6",93027,la-courneuve
,,,,,,,93027,la-courneuve
Maisons,2 000,"14,3",2 158,"14,0",2 247,"13,2",93027,la-courneuve
Appartements,11 743,"83,8",13 009,"84,1",14 451,"85,1",93027,la-courneuve
Ensemble,27 447,"100,0",28 941,"100,0",30 544,"100,0",93029,drancy
Résidences principales,25 529,"93,0",26 898,"92,9",28 140,"92,1",93029,drancy
Résidences secondaires et logements occasionnels,113,"0,4",156,"0,5",343,"1,1",93029,drancy
Logements vacants,1 805,"6,6",1 887,"6,5",2 061,"6,7",93029,drancy
,,,,,,,93029,drancy
Maisons,11 467,"41,8",11 330,"39,2",11 012,"36,1",93029,drancy
Appartements,15 521,"56,5",17 365,"60,0",18 752,"61,4",93029,drancy
Ensemble,20 744,"100,0",21 412,"100,0",22 251,"100,0",93031,epinay-sur-seine
Résidences principales,19 751,"95,2",20 166,"94,2",20 579,"92,5",93031,epinay-sur-seine
Résidences secondaires et logements occasionnels,32,"0,2",29,"0,1",255,"1,1",93031,epinay-sur-seine
Logements vacants,961,"4,6",1 217,"5,7",1 418,"6,4",93031,epinay-sur-seine
,,,,,,,93031,epinay-sur-seine
Maisons,3 401,"16,4",3 170,"14,8",3 277,"14,7",93031,epinay-sur-seine
Appartements,17 103,"82,4",17 844,"83,3",18 634,"83,7",93031,epinay-sur-seine
Ensemble,16 059,"100,0",16 326,"100,0",16 690,"100,0",93032,gagny
Résidences principales,15 116,"94,1",15 353,"94,0",15 688,"94,0",93032,gagny
Résidences secondaires et logements occasionnels,101,"0,6",146,"0,9",148,"0,9",93032,gagny
Logements vacants,843,"5,2",827,"5,1",853,"5,1",93032,gagny
,,,,,,,93032,gagny
Maisons,7 585,"47,2",7 742,"47,4",7 661,"45,9",93032,gagny
Appartements,8 404,"52,3",8 507,"52,1",8 918,"53,4",93032,gagny
Ensemble,11 265,"100,0",11 597,"100,0",11 900,"100,0",93045,les-lilas
Résidences principales,10 421,"92,5",10 570,"91,1",10 778,"90,6",93045,les-lilas
Résidences secondaires et logements occasionnels,203,"1,8",247,"2,1",210,"1,8",93045,les-lilas
Logements vacants,641,"5,7",781,"6,7",913,"7,7",93045,les-lilas
,,,,,,,93045,les-lilas
Maisons,1 230,"10,9",1 191,"10,3",1 167,"9,8",93045,les-lilas
Appartements,9 742,"86,5",10 052,"86,7",10 417,"87,5",93045,les-lilas
Ensemble,18 288,"100,0",19 068,"100,0",20 244,"100,0",93046,livry-gargan
Résidences principales,17 356,"94,9",18 012,"94,5",18 623,"92,0",93046,livry-gargan
Résidences secondaires et logements occasionnels,127,"0,7",155,"0,8",223,"1,1",93046,livry-gargan
Logements vacants,805,"4,4",900,"4,7",1 398,"6,9",93046,livry-gargan
,,,,,,,93046,livry-gargan
Maisons,7 740,"42,3",7 507,"39,4",7 442,"36,8",93046,livry-gargan
Appartements,10 395,"56,8",11 445,"60,0",12 696,"62,7",93046,livry-gargan
Ensemble,9 040,"100,0",9 169,"100,0",9 994,"100,0",93047,montfermeil
Résidences principales,8 506,"94,1",8 740,"95,3",9 571,"95,8",93047,montfermeil
Résidences secondaires et logements occasionnels,86,"1,0",49,"0,5",57,"0,6",93047,montfermeil
Logements vacants,447,"4,9",379,"4,1",366,"3,7",93047,montfermeil
,,,,,,,93047,montfermeil
Maisons,5 822,"64,4",5 675,"61,9",5 967,"59,7",93047,montfermeil
Appartements,3 116,"34,5",3 433,"37,4",3 981,"39,8",93047,montfermeil
Ensemble,45 833,"100,0",49 167,"100,0",53 245,"100,0",93048,montreuil
Résidences principales,42 915,"93,6",45 847,"93,2",49 135,"92,3",93048,montreuil
Résidences secondaires et logements occasionnels,446,"1,0",599,"1,2",1 043,"2,0",93048,montreuil
Logements vacants,2 472,"5,4",2 721,"5,5",3 067,"5,8",93048,montreuil
,,,,,,,93048,montreuil
Maisons,8 172,"17,8",8 364,"17,0",7 885,"14,8",93048,montreuil
Appartements,36 938,"80,6",40 192,"81,7",44 208,"83,0",93048,montreuil
Ensemble,8 977,"100,0",9 488,"100,0",10 311,"100,0",93049,neuilly-plaisance
Résidences principales,8 483,"94,5",8 694,"91,6",9 430,"91,5",93049,neuilly-plaisance
Résidences secondaires et logements occasionnels,133,"1,5",193,"2,0",291,"2,8",93049,neuilly-plaisance
Logements vacants,362,"4,0",600,"6,3",589,"5,7",93049,neuilly-plaisance
,,,,,,,93049,neuilly-plaisance
Maisons,3 823,"42,6",3 820,"40,3",3 925,"38,1",93049,neuilly-plaisance
Appartements,5 048,"56,2",5 542,"58,4",6 184,"60,0",93049,neuilly-plaisance
Ensemble,13 575,"100,0",14 490,"100,0",15 586,"100,0",93050,neuilly-sur-marne
Résidences principales,12 953,"95,4",13 761,"95,0",14 907,"95,6",93050,neuilly-sur-marne
Résidences secondaires et logements occasionnels,53,"0,4",47,"0,3",97,"0,6",93050,neuilly-sur-marne
Logements vacants,569,"4,2",682,"4,7",581,"3,7",93050,neuilly-sur-marne
,,,,,,,93050,neuilly-sur-marne
Maisons,3 077,"22,7",2 844,"19,6",3 153,"20,2",93050,neuilly-sur-marne
Appartements,10 461,"77,1",11 481,"79,2",12 351,"79,2",93050,neuilly-sur-marne
Ensemble,26 616,"100,0",28 282,"100,0",31 108,"100,0",93051,noisy-le-grand
Résidences principales,24 903,"93,6",26 563,"93,9",29 075,"93,5",93051,noisy-le-grand
Résidences secondaires et logements occasionnels,216,"0,8",191,"0,7",476,"1,5",93051,noisy-le-grand
Logements vacants,1 497,"5,6",1 527,"5,4",1 557,"5,0",93051,noisy-le-grand
,,,,,,,93051,noisy-le-grand
Maisons,7 409,"27,8",7 279,"25,7",7 254,"23,3",93051,noisy-le-grand
Appartements,18 968,"71,3",20 591,"72,8",23 222,"74,6",93051,noisy-le-grand
Ensemble,16 622,"100,0",17 311,"100,0",19 181,"100,0",93053,noisy-le-sec
Résidences principales,15 608,"93,9",16 334,"94,4",17 841,"93,0",93053,noisy-le-sec
Résidences secondaires et logements occasionnels,101,"0,6",112,"0,6",212,"1,1",93053,noisy-le-sec
Logements vacants,912,"5,5",865,"5,0",1 128,"5,9",93053,noisy-le-sec
,,,,,,,93053,noisy-le-sec
Maisons,3 747,"22,5",3 803,"22,0",3 620,"18,9",93053,noisy-le-sec
Appartements,12 739,"76,6",13 301,"76,8",15 364,"80,1",93053,noisy-le-sec
Ensemble,24 748,"100,0",26 026,"100,0",27 633,"100,0",93055,pantin
Résidences principales,22 931,"92,7",23 930,"91,9",25 852,"93,6",93055,pantin
Résidences secondaires et logements occasionnels,368,"1,5",718,"2,8",624,"2,3",93055,pantin
Logements vacants,1 449,"5,9",1 378,"5,3",1 157,"4,2",93055,pantin
,,,,,,,93055,pantin
Maisons,1 348,"5,4",1 217,"4,7",971,"3,5",93055,pantin
Appartements,23 029,"93,1",24 368,"93,6",26 111,"94,5",93055,pantin
Ensemble,9 655,"100,0",10 049,"100,0",10 640,"100,0",93057,les-pavillons-sous-bois
Résidences principales,8 895,"92,1",9 172,"91,3",9 748,"91,6",93057,les-pavillons-sous-bois
Résidences secondaires et logements occasionnels,66,"0,7",57,"0,6",96,"0,9",93057,les-pavillons-sous-bois
Logements vacants,694,"7,2",820,"8,2",796,"7,5",93057,les-pavillons-sous-bois
,,,,,,,93057,les-pavillons-sous-bois
Maisons,4 138,"42,9",4 197,"41,8",4 138,"38,9",93057,les-pavillons-sous-bois
Appartements,5 372,"55,6",5 775,"57,5",6 433,"60,5",93057,les-pavillons-sous-bois
Ensemble,10 037,"100,0",10 594,"100,0",12 285,"100,0",93059,pierrefitte-sur-seine
Résidences principales,9 420,"93,9",9 749,"92,0",11 495,"93,6",93059,pierrefitte-sur-seine
Résidences secondaires et logements occasionnels,86,"0,9",192,"1,8",91,"0,7",93059,pierrefitte-sur-seine
Logements vacants,531,"5,3",654,"6,2",699,"5,7",93059,pierrefitte-sur-seine
,,,,,,,93059,pierrefitte-sur-seine
Maisons,3 502,"34,9",3 541,"33,4",3 869,"31,5",93059,pierrefitte-sur-seine
Appartements,6 409,"63,9",6 936,"65,5",8 297,"67,5",93059,pierrefitte-sur-seine
Ensemble,10 774,"100,0",11 257,"100,0",14 520,"100,0",93063,romainville
Résidences principales,10 224,"94,9",10 502,"93,3",13 534,"93,2",93063,romainville
Résidences secondaires et logements occasionnels,38,"0,4",111,"1,0",99,"0,7",93063,romainville
Logements vacants,512,"4,8",645,"5,7",887,"6,1",93063,romainville
,,,,,,,93063,romainville
Maisons,2 883,"26,8",2 627,"23,3",2 766,"19,0",93063,romainville
Appartements,7 609,"70,6",8 516,"75,6",11 527,"79,4",93063,romainville
Ensemble,17 850,"100,0",19 529,"100,0",21 892,"100,0",93064,rosny-sous-bois
Résidences principales,16 671,"93,4",18 051,"92,4",19 469,"88,9",93064,rosny-sous-bois
Résidences secondaires et logements occasionnels,102,"0,6",160,"0,8",510,"2,3",93064,rosny-sous-bois
Logements vacants,1 077,"6,0",1 318,"6,7",1 913,"8,7",93064,rosny-sous-bois
,,,,,,,93064,rosny-sous-bois
Maisons,3 796,"21,3",3 641,"18,6",3 437,"15,7",93064,rosny-sous-bois
Appartements,13 825,"77,5",15 792,"80,9",18 082,"82,6",93064,rosny-sous-bois
Ensemble,44 115,"100,0",46 934,"100,0",50 560,"100,0",93066,saint-denis
Résidences principales,41 285,"93,6",43 600,"92,9",46 380,"91,7",93066,saint-denis
Résidences secondaires et logements occasionnels,405,"0,9",279,"0,6",884,"1,7",93066,saint-denis
Logements vacants,2 425,"5,5",3 055,"6,5",3 296,"6,5",93066,saint-denis
,,,,,,,93066,saint-denis
Maisons,3 663,"8,3",3 732,"8,0",3 409,"6,7",93066,saint-denis
Appartements,38 719,"87,8",41 881,"89,2",45 489,"90,0",93066,saint-denis
Ensemble,23 193,"100,0",24 686,"100,0",27 631,"100,0",93070,saint-ouen-sur-seine
Résidences principales,21 383,"92,2",22 363,"90,6",23 978,"86,8",93070,saint-ouen-sur-seine
Résidences secondaires et logements occasionnels,298,"1,3",304,"1,2",814,"2,9",93070,saint-ouen-sur-seine
Logements vacants,1 512,"6,5",2 019,"8,2",2 839,"10,3",93070,saint-ouen-sur-seine
,,,,,,,93070,saint-ouen-sur-seine
Maisons,1 173,"5,1",1 095,"4,4",1 267,"4,6",93070,saint-ouen-sur-seine
Appartements,21 170,"91,3",22 767,"92,2",25 698,"93,0",93070,saint-ouen-sur-seine
Ensemble,17 479,"100,0",17 648,"100,0",18 640,"100,0",93071,sevran
Résidences principales,16 610,"95,0",16 833,"95,4",17 652,"94,7",93071,sevran
Résidences secondaires et logements occasionnels,43,"0,2",72,"0,4",105,"0,6",93071,sevran
Logements vacants,825,"4,7",743,"4,2",883,"4,7",93071,sevran
,,,,,,,93071,sevran
Maisons,6 216,"35,6",6 448,"36,5",6 349,"34,1",93071,sevran
Appartements,11 114,"63,6",11 016,"62,4",11 727,"62,9",93071,sevran
Ensemble,12 719,"100,0",14 211,"100,0",14 957,"100,0",93072,stains
Résidences principales,11 926,"93,8",13 264,"93,3",13 992,"93,5",93072,stains
Résidences secondaires et logements occasionnels,31,"0,2",27,"0,2",47,"0,3",93072,stains
Logements vacants,762,"6,0",921,"6,5",919,"6,1",93072,stains
,,,,,,,93072,stains
Maisons,3 628,"28,5",4 061,"28,6",3 897,"26,1",93072,stains
Appartements,8 759,"68,9",9 693,"68,2",10 609,"70,9",93072,stains
Ensemble,13 163,"100,0",13 493,"100,0",14 607,"100,0",93073,tremblay-en-france
Résidences principales,12 567,"95,5",12 768,"94,6",13 792,"94,4",93073,tremblay-en-france
Résidences secondaires et logements occasionnels,187,"1,4",119,"0,9",127,"0,9",93073,tremblay-en-france
Logements vacants,409,"3,1",606,"4,5",688,"4,7",93073,tremblay-en-france
,,,,,,,93073,tremblay-en-france
Maisons,7 003,"53,2",7 130,"52,8",7 412,"50,7",93073,tremblay-en-france
Appartements,6 088,"46,2",6 340,"47,0",7 138,"48,9",93073,tremblay-en-france
Ensemble,12 554,"100,0",13 135,"100,0",13 598,"100,0",93077,villemomble
Résidences principales,11 700,"93,2",12 345,"94,0",12 573,"92,5",93077,villemomble
Résidences secondaires et logements occasionnels,48,"0,4",87,"0,7",86,"0,6",93077,villemomble
Logements vacants,806,"6,4",703,"5,4",939,"6,9",93077,villemomble
,,,,,,,93077,villemomble
Maisons,4 925,"39,2",5 108,"38,9",4 955,"36,4",93077,villemomble
Appartements,7 508,"59,8",7 957,"60,6",8 552,"62,9",93077,villemomble
Ensemble,12 036,"100,0",12 390,"100,0",13 528,"100,0",93078,villepinte
Résidences principales,11 434,"95,0",11 751,"94,8",12 797,"94,6",93078,villepinte
Résidences secondaires et logements occasionnels,79,"0,7",78,"0,6",147,"1,1",93078,villepinte
Logements vacants,523,"4,3",561,"4,5",584,"4,3",93078,villepinte
,,,,,,,93078,villepinte
Maisons,6 362,"52,9",6 325,"51,0",5 847,"43,2",93078,villepinte
Appartements,5 609,"46,6",5 950,"48,0",7 514,"55,5",93078,villepinte
Ensemble,21 127,"100,0",21 856,"100,0",23 407,"100,0",94002,alfortville
Résidences principales,19 796,"93,7",20 046,"91,7",21 260,"90,8",94002,alfortville
Résidences secondaires et logements occasionnels,154,"0,7",239,"1,1",237,"1,0",94002,alfortville
Logements vacants,1 176,"5,6",1 571,"7,2",1 909,"8,2",94002,alfortville
,,,,,,,94002,alfortville
Maisons,2 621,"12,4",2 594,"11,9",2 479,"10,6",94002,alfortville
Appartements,18 013,"85,3",18 515,"84,7",20 005,"85,5",94002,alfortville
Ensemble,9 463,"100,0",10 557,"100,0",11 170,"100,0",94003,arcueil
Résidences principales,8 942,"94,5",9 708,"92,0",10 159,"91,0",94003,arcueil
Résidences secondaires et logements occasionnels,40,"0,4",128,"1,2",279,"2,5",94003,arcueil
Logements vacants,481,"5,1",720,"6,8",731,"6,5",94003,arcueil
,,,,,,,94003,arcueil
Maisons,2 004,"21,2",2 150,"20,4",1 990,"17,8",94003,arcueil
Appartements,7 206,"76,2",8 130,"77,0",8 712,"78,0",94003,arcueil
Ensemble,12 775,"100,0",13 457,"100,0",14 729,"100,0",94016,cachan
Résidences principales,11 945,"93,5",12 770,"94,9",13 687,"92,9",94016,cachan
Résidences secondaires et logements occasionnels,104,"0,8",97,"0,7",254,"1,7",94016,cachan
Logements vacants,725,"5,7",591,"4,4",789,"5,4",94016,cachan
,,,,,,,94016,cachan
Maisons,2 608,"20,4",2 655,"19,7",2 431,"16,5",94016,cachan
Appartements,9 639,"75,5",9 890,"73,5",11 648,"79,1",94016,cachan
Ensemble,31 084,"100,0",31 770,"100,0",33 528,"100,0",94017,champigny-sur-marne
Résidences principales,29 178,"93,9",29 807,"93,8",31 350,"93,5",94017,champigny-sur-marne
Résidences secondaires et logements occasionnels,155,"0,5",183,"0,6",334,"1,0",94017,champigny-sur-marne
Logements vacants,1 752,"5,6",1 779,"5,6",1 844,"5,5",94017,champigny-sur-marne
,,,,,,,94017,champigny-sur-marne
Maisons,10 144,"32,6",10 057,"31,7",10 165,"30,3",94017,champigny-sur-marne
Appartements,20 601,"66,3",21 398,"67,4",22 975,"68,5",94017,champigny-sur-marne
Ensemble,15 135,"100,0",15 455,"100,0",15 840,"100,0",94018,charenton-le-pont
Résidences principales,13 707,"90,6",14 115,"91,3",13 866,"87,5",94018,charenton-le-pont
Résidences secondaires et logements occasionnels,486,"3,2",526,"3,4",743,"4,7",94018,charenton-le-pont
Logements vacants,942,"6,2",813,"5,3",1 230,"7,8",94018,charenton-le-pont
,,,,,,,94018,charenton-le-pont
Maisons,300,"2,0",280,"1,8",267,"1,7",94018,charenton-le-pont
Appartements,14 752,"97,5",15 070,"97,5",15 490,"97,8",94018,charenton-le-pont
Ensemble,7 897,"100,0",8 279,"100,0",9 110,"100,0",94021,chevilly-larue
Résidences principales,7 462,"94,5",7 758,"93,7",8 291,"91,0",94021,chevilly-larue
Résidences secondaires et logements occasionnels,31,"0,4",150,"1,8",338,"3,7",94021,chevilly-larue
Logements vacants,404,"5,1",371,"4,5",482,"5,3",94021,chevilly-larue
,,,,,,,94021,chevilly-larue
Maisons,1 428,"18,1",1 351,"16,3",1 429,"15,7",94021,chevilly-larue
Appartements,6 351,"80,4",6 648,"80,3",7 325,"80,4",94021,chevilly-larue
Ensemble,18 546,"100,0",19 490,"100,0",21 568,"100,0",94022,choisy-le-roi
Résidences principales,17 442,"94,0",18 080,"92,8",19 953,"92,5",94022,choisy-le-roi
Résidences secondaires et logements occasionnels,50,"0,3",155,"0,8",468,"2,2",94022,choisy-le-roi
Logements vacants,1 053,"5,7",1 255,"6,4",1 148,"5,3",94022,choisy-le-roi
,,,,,,,94022,choisy-le-roi
Maisons,3 421,"18,4",3 584,"18,4",3 434,"15,9",94022,choisy-le-roi
Appartements,14 617,"78,8",15 451,"79,3",17 654,"81,9",94022,choisy-le-roi
Ensemble,37 287,"100,0",38 309,"100,0",41 082,"100,0",94028,creteil
Résidences principales,35 906,"96,3",36 641,"95,6",39 226,"95,5",94028,creteil
Résidences secondaires et logements occasionnels,342,"0,9",318,"0,8",350,"0,9",94028,creteil
Logements vacants,1 039,"2,8",1 349,"3,5",1 506,"3,7",94028,creteil
,,,,,,,94028,creteil
Maisons,3 132,"8,4",3 363,"8,8",3 004,"7,3",94028,creteil
Appartements,33 683,"90,3",34 362,"89,7",37 190,"90,5",94028,creteil
Ensemble,23 409,"100,0",23 600,"100,0",24 162,"100,0",94033,fontenay-sous-bois
Résidences principales,22 333,"95,4",22 352,"94,7",21 989,"91,0",94033,fontenay-sous-bois
Résidences secondaires et logements occasionnels,172,"0,7",253,"1,1",327,"1,4",94033,fontenay-sous-bois
Logements vacants,904,"3,9",995,"4,2",1 845,"7,6",94033,fontenay-sous-bois
,,,,,,,94033,fontenay-sous-bois
Maisons,5 600,"23,9",5 631,"23,9",5 674,"23,5",94033,fontenay-sous-bois
Appartements,17 402,"74,3",17 582,"74,5",18 294,"75,7",94033,fontenay-sous-bois
Ensemble,10 631,"100,0",10 926,"100,0",12 231,"100,0",94034,fresnes
Résidences principales,9 990,"94,0",10 297,"94,2",11 277,"92,2",94034,fresnes
Résidences secondaires et logements occasionnels,71,"0,7",80,"0,7",201,"1,6",94034,fresnes
Logements vacants,571,"5,4",549,"5,0",753,"6,2",94034,fresnes
,,,,,,,94034,fresnes
Maisons,1 508,"14,2",1 516,"13,9",1 526,"12,5",94034,fresnes
Appartements,9 059,"85,2",9 318,"85,3",10 353,"84,6",94034,fresnes
Ensemble,13 100,"100,0",13 462,"100,0",14 082,"100,0",94038,l-hay-les-roses
Résidences principales,12 435,"94,9",12 742,"94,7",12 907,"91,7",94038,l-hay-les-roses
Résidences secondaires et logements occasionnels,56,"0,4",132,"1,0",197,"1,4",94038,l-hay-les-roses
Logements vacants,609,"4,7",588,"4,4",978,"6,9",94038,l-hay-les-roses
,,,,,,,94038,l-hay-les-roses
Maisons,3 740,"28,5",3 527,"26,2",3 604,"25,6",94038,l-hay-les-roses
Appartements,9 035,"69,0",9 790,"72,7",10 093,"71,7",94038,l-hay-les-roses
Ensemble,27 604,"100,0",28 964,"100,0",32 536,"100,0",94041,ivry-sur-seine
Résidences principales,25 508,"92,4",26 717,"92,2",29 379,"90,3",94041,ivry-sur-seine
Résidences secondaires et logements occasionnels,643,"2,3",724,"2,5",1 113,"3,4",94041,ivry-sur-seine
Logements vacants,1 453,"5,3",1 523,"5,3",2 044,"6,3",94041,ivry-sur-seine
,,,,,,,94041,ivry-sur-seine
Maisons,1 919,"7,0",2 037,"7,0",1 858,"5,7",94041,ivry-sur-seine
Appartements,24 697,"89,5",25 656,"88,6",29 007,"89,2",94041,ivry-sur-seine
Ensemble,8 865,"100,0",9 085,"100,0",9 795,"100,0",94042,joinville-le-pont
Résidences principales,8 342,"94,1",8 552,"94,1",9 141,"93,3",94042,joinville-le-pont
Résidences secondaires et logements occasionnels,135,"1,5",109,"1,2",217,"2,2",94042,joinville-le-pont
Logements vacants,388,"4,4",424,"4,7",437,"4,5",94042,joinville-le-pont
,,,,,,,94042,joinville-le-pont
Maisons,2 173,"24,5",2 221,"24,4",2 267,"23,1",94042,joinville-le-pont
Appartements,6 343,"71,6",6 789,"74,7",7 484,"76,4",94042,joinville-le-pont
Ensemble,12 729,"100,0",12 671,"100,0",13 345,"100,0",94043,le-kremlin-bicetre
Résidences principales,11 730,"92,1",11 723,"92,5",11 794,"88,4",94043,le-kremlin-bicetre
Résidences secondaires et logements occasionnels,162,"1,3",261,"2,1",362,"2,7",94043,le-kremlin-bicetre
Logements vacants,838,"6,6",688,"5,4",1 188,"8,9",94043,le-kremlin-bicetre
,,,,,,,94043,le-kremlin-bicetre
Maisons,626,"4,9",632,"5,0",662,"5,0",94043,le-kremlin-bicetre
Appartements,11 905,"93,5",11 846,"93,5",12 570,"94,2",94043,le-kremlin-bicetre
Ensemble,8 108,"100,0",10 569,"100,0",11 311,"100,0",94044,limeil-brevannes
Résidences principales,7 414,"91,4",9 798,"92,7",10 489,"92,7",94044,limeil-brevannes
Résidences secondaires et logements occasionnels,84,"1,0",133,"1,3",148,"1,3",94044,limeil-brevannes
Logements vacants,609,"7,5",638,"6,0",674,"6,0",94044,limeil-brevannes
,,,,,,,94044,limeil-brevannes
Maisons,2 810,"34,7",3 073,"29,1",3 057,"27,0",94044,limeil-brevannes
Appartements,5 161,"63,7",7 339,"69,4",8 103,"71,6",94044,limeil-brevannes
Ensemble,26 761,"100,0",27 424,"100,0",29 537,"100,0",94046,maisons-alfort
Résidences principales,24 743,"92,5",25 122,"91,6",26 908,"91,1",94046,maisons-alfort
Résidences secondaires et logements occasionnels,602,"2,2",498,"1,8",739,"2,5",94046,maisons-alfort
Logements vacants,1 416,"5,3",1 804,"6,6",1 890,"6,4",94046,maisons-alfort
,,,,,,,94046,maisons-alfort
Maisons,4 372,"16,3",4 519,"16,5",4 427,"15,0",94046,maisons-alfort
Appartements,21 936,"82,0",22 324,"81,4",24 742,"83,8",94046,maisons-alfort
